리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
진짜 세상 핏 이쁘다 무조건 사라 이거는 형이 강추한다 사라 색도 잘 뽑았노,남성, 183cm, 80kg,작아요,보통이에요,보통이에요,보통이에요
무난하고 가성비좋아요 전투복으로 굿굿 킹성비,남성, 178cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
색상 이쁘고 사이즈도 좋네요3엑스라지가 없어서 2엑스라지 구입했는데괜찮네요,남성, 183cm, 90kg,보통이에요,보통이에요,보통이에요,보통이에요
오천원이여서 가성비는 굿 허나 뭔가 외출용으론 애매함 동네 마실용으로 입기는 좋은듯,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,얇아요
세비 오버핏으로 좋아요 얇긴하나 만원 생각하면 가성비로 한철 입기 굿,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,얇아요
밝은 남색  기본적인 오버핏 티셔츠 입니다  무난무난해요,남성, 175cm, 78kg,보통이에요,밝아요,보통이에요,보통이에요
가격 대비 재질도 좋구 핏도 마음에 드네요  자주 입어요,남성, 174cm, 69kg,보통이에요,보통이에요,보통이에요,보통이에요
파란색 색감 넘 이뻐요 ㅎㅎ 역시 믿고사는 무텐다드에요 ㅎㅎ,남성, 178cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요
색감 진짜 이쁘고 핏도 루즈핏으로 넘나 이쁘네영 ㅎㅎ,남성, 178cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요
무지티는 목이 탄탄해야 좋은데 이 제품이그래서 좋았어요,남성, 175cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
핏감과 색감 모두 맘에 듭니다 가성비 차고 넘치는 티셔츠네요 다른색상으로 더 구매해야겠어요 ,남성, 174cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
175 73수축 심하진 않고 사이즈 1업만 해도 좋네요조금은 두꺼운듯한 소재에 캐쥬얼한 립이 장점,남성, 175cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
남방하고 같이 입고 오버핏으로 입기에 넘 좋네요,남성, 182cm, 85kg,보통이에요,보통이에요,선명해요,보통이에요
광고 보다가 무배에 저렴하기까지 해서 샀는데재질 두툼하고 오버핏으로 딱 좋네요 이제 좀 선선해지려 하는데 긴팔까진 좀 더울 것 같을 때 아주 좋을 것 같습니다 ,남성, 182cm, 71kg,커요,보통이에요,선명해요,두꺼워요
175 73수축 심하진 않고 사이즈 1업만 해도 좋네요조금은 두꺼운듯한 소재에 캐쥬얼한 립이 장점,남성, 175cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
175 73수축 심하진 않고 사이즈 1업만 해도 좋네요조금은 두꺼운듯한 소재에 캐쥬얼한 립이 장점,남성, 175cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
옷이 평범하게 루즈한 핏으로 딱 떨어지고 레이어드 하기도 좋아요,남성, 168cm, 61kg,보통이에요,보통이에요,보통이에요,보통이에요
한여름에 입기는 무리지만 이제 곧 가을이니까 괜찮은 선택입니다  무난한 색깔입니다  ,남성, 177cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
적당히 두께감있어서 기본티로 구매하기 좋습니다 기장이 길어서 넣어입기도 좋아요,남성, 172cm, 85kg,보통이에요,보통이에요,보통이에요,보통이에요
적당히 두께감있어서 기본티로 구매하기 좋습니다 기장이 길어서 넣어입기도 좋아요,남성, 172cm, 85kg,보통이에요,보통이에요,보통이에요,보통이에요
에그렛 색감 파스텔 톤 너무 이뻐요 귀엽습니다 많이 파세요,남성, 170cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
흠벅쇼가서 잘 입었어요 막입기 좋음 가격에 비해 질도 굿,남성, 180cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
딱 맞고 상당히 만족스러운 제품이네요 다른 컬러 재구매 의사 있습니다,남성, 181cm, 79kg,보통이에요,보통이에요,보통이에요,보통이에요
딱 맞고 상당히 만족스러운 제품이네요 다른 컬러 재구매 의사 있습니다,남성, 181cm, 79kg,보통이에요,보통이에요,보통이에요,보통이에요
기본아이템인데 가격도 괜찮구 편하게 입고 다니기 좋아요,남성, 174cm, 69kg,보통이에요,보통이에요,보통이에요,보통이에요
5천원 가격대비 매우 좋은 품질입니다 정확히  5천원 대비 입니다 ,남성, 177cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
단품으로 입기에 좋아요 사이즈도 크게나왓어요,남성, 173cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
예상한대로 집에서 입을 만한 티셔츠 입니다 보라색이 이쁘네요,남성, 173cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
조끼 아래에 레이어드 해서 입기 좋은 사이즈예요,남성, 171cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
