리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
레이어드 하기 좋네요 잘 입겠습니다 감사합니다,남성, 172cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 무탠다드 믿고 살수있습니다 아주 맘에들어요  ,남성, 178cm, 90kg,보통이에요,밝아요,선명해요,보통이에요
이너로 입기에 너무 좋은 것 같아요  긴 기장 만들어주신게 신의 한수인 것 같네요,남성, 172cm, 63kg,보통이에요,보통이에요,보통이에요,얇아요
편하게 입기 좋네요집에서도 입기 좋고 밖으로 돌아다닐때도 간단하기 입기 좋아요,남성, 183cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
받쳐입기 좋은 기본 흰티인거같습니다  값어치 합니당,남성, 177cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
두깨 보통 레이아웃하려고  시켰는데 길긴 기네욬ㅋㅋ얇지않아서 목늘어지는건 덜할것같아요 옆에 트여있음,남성, 175cm, 67kg,커요,밝아요,선명해요,보통이에요
기장 길다고 해서  사이즈 샀는데 잘 산거 같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
아주 맘에 들어요 핏도 좋고 재질도 좋아요 가성비굿굿,NaN,NaN,NaN,보통이에요,밝아요,보통이에요,보통이에요
좋아요어어얼길이는 긴데 핏하게 맞아 안부담스러워요추천드립니다 ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
오버핏 느낌으로 사봤는데 딱 원하는 스타일 느낌입니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
역시 무탠다드 믿고사요   길이가 길지만 넣어입으면 빠질일도 없고 스타일 멋저요,남성, 175cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
기본적인 레이어드티입니다  맨투맨이나 후드티에 입기 좋아요,남성, 176cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 많이 길어서 레이어드하기에도 조금 불편함이있어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 엄청 기네요 아무생각 없이 2  시켰다가  으로 교환했어요,NaN,NaN,NaN,커요,보통이에요,선명해요,보통이에요
기장이 너무 길까봐 걱정했는데 적당하고 핏이 이뻐요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
좀 긴듯 하지만 좋아요맨투맨에 입는데 날이 더워져서 단독으로 입었지만점퍼는 실내에서나 벗을듯,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드중에 제일 핏 좋은거같습니다 여러장 구매완료,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
옷이 편하고 코디하기도 좋아서 좋은것 같아요 만족스럽습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드 티만 입었을때에는 기장이 너무 길어 망했다 생각했는데  박시한 카라티를 같이 입으니 기장도 적당한거 같네요,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
옷이 코디하기 좋고 편안해서 아주 만족스럽습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 엄청 좋고 잠옷으로도 좋다 굿굿,남성, 172cm, 58kg,보통이에요,밝아요,선명해요,얇아요
체애 이너 티셔츠 기장 옷질 모든게 최고입니다 흰색이라 자주 구매하고 있어요,남성, 180cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
무난하고  레이어드로 입기 좋습니다면 재질이 엄청 좋진않지만 가성비로 괜찮은 것 같습니다,남성, 179cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요
맨투맨에 레이어드하기에 적합한것같아요 니트조끼에 입기엔 쫌 어색해보이긴합니다,남성, 174cm, 66kg,보통이에요,보통이에요,보통이에요,보통이에요
기장감이 여유있어 레이어드용으로 입기좋습니다,남성, 185cm, 75kg,커요,밝아요,선명해요,보통이에요
이너 레이어드티셔츠로 아주적절해서 추가구매할 생각입니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
이너 레이어드티셔츠로 아주적절해서 추가구매할 생각입니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
좋아요 마음에 들어요 길이도 딱 적당히 길어서 예뻐요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 맨날 이거만삼가성비 좋고 절개때문에 핏 더 좋아짐,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
남자들한테는 길이가 좋은듯해요키가 조금만 작아도 ㅁㅏ니 길어용,NaN,NaN,NaN,커요,밝아요,선명해요,두꺼워요
레이어드티여서 안에 입기 딱 좋네요 생각보다 더 길어서 사이즈 잘 참고하세여,남성, 185cm, 78kg,커요,보통이에요,보통이에요,보통이에요
길이감도 있고두께감도 조금 있습니다잘 입고 다닐께요,남성, 169cm, 66kg,커요,밝아요,선명해요,보통이에요
레이어드 기장으로 넣입 목적으로 훌륭합니다 굳,남성, 167cm, 66kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드 용으로 너무 좋다  체형에 딱 맞는 사이즈에 셔츠보다 긴 기장으로 이게 바로 니즈에 맞춘 옷 아닌가  아 근데 나는 보통   입는데 이건  로 감    사이즈도 사봤는데 통이 커서 편안하기 하지만 길이 감당안됨  제 키 되는 분들은   ㄱㄱ,남성, 167cm, 66kg,보통이에요,밝아요,선명해요,보통이에요
완전 가성비 좋아용 옷도 두툼해서 비침 없음   사이즈도 넉넉해서 완전 잘입을듯요 ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
레이어드라 기장이 확실히 깁니다 참고해서 구매하셔요 ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
레이어드라 기장이 확실히 깁니다 참고해서 구매하셔요 ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
믿고사는 무탠다드 다들 구매하세요 매우 만족해요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
한두철 입을 레이어드 티로 샀습니다 퀄은 그저 그래요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
기장도 길고 색감도 밝고 면티 하나 입은정도에요,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
약간 두꺼운 편이고 데일리로 입기 좋네요 가성비 제품입니다 ,남성, 180cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
기장감적당하고 가성비제품입니다 적당히 탄탄합니다 ,남성, 185cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
엑스라지 했으면 너무 길뻔했네요  생각했던 레이어드 사이즈라서 맘에 듭니다,남성, 184cm, 88kg,보통이에요,보통이에요,보통이에요,얇아요
무탠이 역시 기장 제대로 긴 거 찾을 수 있어서 좋음  ,남성, 182cm, 78kg,커요,보통이에요,보통이에요,보통이에요
레이어드 하려고 샀는데 딱 후드티랑 입으니 길이감 딱 좋아요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
편하게 입기 좋네요  색도 마음에 들고 사이즈도 괜찮은 것 같아요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
편하게 입기 좋네요  색도 마음에 들고 사이즈도 괜찮은 것 같아요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
     사이즈 다 사둬서  기장감 맞게 입어주고 있어요  가성비 너무 좋고 레이어드용으로 딱이에요 ,NaN,NaN,NaN,커요,밝아요,선명해요,얇아요
레이어드용으로 너무 좋아요       다 사둬서  기장감 맞춰서 활용해주고 있어요  가성비 굿,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
레이어드하기 아주 딱좋은 길이와 재질도 맘에들어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
길이 재질 완전무난 목 안보이게 잘 코디해보세용,남성, 180cm, 78kg,보통이에요,밝아요,보통이에요,보통이에요
레이어드해서 입으려고 평소 입는 옷들 기장 고려해서 구매했어요  몸통은 슬림한듯 하지만 어차피 이너라 노상관입니다 ,남성, 170cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
이너 아니고 단품으로 입어도 나쁘지 않아요 ㅎㅎ 추천합니다  ,남성, 176cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
두께감 좋고  길이는 나 크기가 많이 커서 사이즈 다운했어요,남성, 174cm, 75kg,커요,보통이에요,보통이에요,보통이에요
박시하게 입으려고 크게 샀는데 기장이 좀 많이 길긴합니다 그거 감안하셔야할듯,남성, 173cm, 75kg,커요,보통이에요,선명해요,보통이에요
레이어드용으로 입기 딱 알맞게 좋은 길이입니다,남성, 182cm, 83kg,보통이에요,보통이에요,보통이에요,보통이에요
조금 길어요ㅠ 감안하고 사세요 그래도 탄탄하고 좋아요,남성, 171cm, 44kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈 참 잘 맞고 좋은것 같아요색감도 밝고 편안하고 슬림해보이네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 샀는데 모든 코디에 다 잘 맞아요 잘산거 같아요 ㅎㅎ 재구매 의사도 잇습니당,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
역시 많이 사는 데에는 이유가 있죠  근데 뒤부분이랑 앞부분 길이차이가 좀 많이나네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드에 딱 좋은 기장이에요 요즘에 정말 자주 입습니다,남성, 187cm, 95kg,보통이에요,보통이에요,보통이에요,보통이에요
총장이 엄청 길어서 레이어드 할 때 최고입니다 역시 믿고 사는 무탠다드,남성, 180cm, 60kg,커요,보통이에요,보통이에요,보통이에요
핏도 좋고 색감도 좋고 재질탄탄해요  인기많은이유를 알겠음,여성, 168cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
런닝 뛸 때 레깅스 위에 편하게 입으려고 크고 길게 샀어요 마음에 들어요,남성, 170cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
여름대비용으로 하나 더 구입했는데 역시 만족합니다,남성, 176cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
기장이 생각보다 더길어서 레이어드 로는 좋을거 같네요,남성, 183cm, 75kg,커요,보통이에요,보통이에요,보통이에요
기장은 너무 길고 상대적으로 품은 통이 좁아서 핏이좀 그래요  루즈한 맨투맨에 이너로 입으려구요 ,여성, 158cm, 50kg,보통이에요,보통이에요,보통이에요,보통이에요
계속 구매 중인 아이템입니다  생각보다 목이 조금 잘 늘어나지만 이 정도 금액이면 만족중입니다,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
기장이 길긴해서 건조기 돌렸음ㅎㅎ그래도 셔츠나 후드에 레이어드 하기 좋아요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
재질도 너무 탄탄하고 레이어드 했을 때 사진 정도로 나와서 너무 좋아요  다리가 짧아보이지 않을 정도의 길이에요   ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
그냥 입기엔 길고 크고 레이어드용으로는 적당한 길이입니다 ,남성, 175cm, 65kg,커요,보통이에요,보통이에요,보통이에요
레이어드 반팔로 맘애 들고 핏도 예뻐요  원하던 스타일이에요 ,남성, 176cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
후드나 맨투맨에 레이어드용으로 딱 좋아요 코디할때 필수품  ,남성, 175cm, 61kg,보통이에요,보통이에요,보통이에요,보통이에요
겉 옷안에 가볍기 입기도 좋고 레이어드 하기에도 좋은 티셔츠입니다 ,남성, 177cm, 83kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈 좀 크고 길이가 좀 많이 길어서 한 사이즈 다운이 나아 보입니다 ,남성, 176cm, 75kg,커요,보통이에요,보통이에요,보통이에요
품은 적당하고 기장이 길어 이것만 입기는 좀 웃겨보이지만 레이어드로는 딱 좋네요,남성, 179cm, 67kg,보통이에요,밝아요,선명해요,보통이에요
기본템인데 뭔가짱짱한느낌  무난한데 레이어드로 딱일거같아요 많이들사세요,NaN,NaN,NaN,보통이에요,밝아요,보통이에요,보통이에요
커다란 옷에 레이어드하기 딱 좋아요  레이어드가 완전 길어서 코디 잘해야 겠네요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
레이어드 하기에 딱 좋은 길이 입니다  두께도 적당해요,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
저한테는좀커서저랑비슷한체형분들은 사시길  ,NaN,NaN,NaN,커요,밝아요,선명해요,두꺼워요
세탁 후 건조하면 보통 기장이 많이 줄어드는데 이 옷은 많이 줄지도 않고 워낙 기장감이 있어서 레이어드에 매우 적합합니다,남성, 180cm, 75kg,보통이에요,보통이에요,선명해요,보통이에요
레이어드하기 정말좋은 티셔츠에요  두개째 구매해서 입는중입니다  ,남성, 180cm, 72kg,보통이에요,밝아요,선명해요,보통이에요
잘 입고 있는 상품이라 새로운 색상도 구매해봤습니다  지금보단 레이어드가 필요한 계절에 입을 것 같아요  ,남성, 180cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
기장이 진짜진짜 길어요 거의 엉덩이 덮을 정도로 엄청 길어요  감안하시고 사세요,여성, 174cm, 54kg,커요,보통이에요,보통이에요,보통이에요
재질 진짜 좋아요  기장은 좀 길어요 그래도 레이어드로 입으면 좋아요,남성, 182cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
제스펙에는  이 더잘맞을듯 합니다  걍편하게 동플용으로 입을생각요 ,여성, 163cm, 50kg,커요,밝아요,선명해요,보통이에요
사이즈가  인데 길이가 길어서 좋고 품이 크지 않아서 레이어드했을때 쭈굴거리지않아요 원단도 생각보다 톡톡해서 예쁘게 각이 잡혀요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
핏도 좋고 색감도 너무 이뻐요  사길 잘한거 같아요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
언제나 어디에서나 착용하기에 좋고 편한거 같습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
품이 너무 큰건 레이어드하기 힘들어서 샀는데 딱 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 이만한 티가 없는거같아요 단지 위에 짧은걸 입을땐 너무 길게 삐져나올수도 있으니 그런분들은 일반기장으로 하시는게 나을것 같기도 하네요 ,남성, 178cm, 72kg,보통이에요,보통이에요,선명해요,보통이에요
화이트보다 오트밀이 더오래 입더라구요  레이어드하기 좋아용,남성, 173cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
어디에나 잘어울리고 핏도 잘나와서 구매 추천드립니다 ,남성, 171cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
길이가 길어요 사이즈는 정사이즈 길이는 7  길다고 봐야됩니다,남성, 183cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
그냥 딱 레이어드로 활용하기 좋습니다     사이즈인데도 좀 기네요,남성, 173cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드티를 처음 입어서 잘 모르겠는데 잘 맞는거 같아요,남성, 168cm, 58kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드 티가 가지고 있는게 짧았는데 길어서 좋네요,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
무신사 레이어드티가 길이가 길어서 사이즈를 작게 사니까 몸통이 좁네용  바지는 한 번에 같이 사진 찍을려구 ㅎㅎ  ,NaN,NaN,NaN,작아요,보통이에요,보통이에요,보통이에요
사이즈 딱 맞음  로 시키려다가    시켰는데도 괜찮,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 갑입니다 길이감 너무 좋아요 최고에요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
상체가 김 편인데도 조금 길고 숏버전으로 하기엔 레이어드가 안되고 난감하긴하지만 전체적으로 만족합니다,남성, 173cm, 57kg,커요,보통이에요,보통이에요,보통이에요
생각보다 가슴단면이 짧고 기장이 갱장히 깁니다  ,여성, 174cm, 51kg,작아요,보통이에요,보통이에요,보통이에요
맨투맨 또는 컬러있는 반팔티 안에 레이어드해서 입기 좋아요  그 전거는 품이 넓어져서 안좋았는데 품도 안넓어지면서 기장감길어서 레깅스랑 입기도 좋아요 ,남성, 165cm, 48kg,커요,밝아요,보통이에요,보통이에요
레이어드용으로 가장 무난하고 가격대비 좋은거 같아요,여성, 168cm, 54kg,보통이에요,보통이에요,보통이에요,보통이에요
옷이 질감이나 색감이 좋아요  레이어드하기도 좋아요 ,남성, 179cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
원피스길이 찾고있어서 길이는 맘에 드는데 폭이 역시 크긴하네요,남성, 179cm, 78kg,커요,밝아요,선명해요,보통이에요
이쁘게 떨어지는 라지생각해서 샀지만 생각보다 커서 당황  ,남성, 182cm, 78kg,커요,밝아요,선명해요,보통이에요
일반 레이어드티 생각하구 사시면 엄청 큽니다   본인사니즈보다 하나 작은거 추천 ,남성, 184cm, 78kg,커요,밝아요,선명해요,보통이에요
사이즈 넉넉하게 티 아래쪽으로 뻗어나오구요  두께감도 있어서 고급스러운 느낌입니다  저는 벌룬핏 바지에 맞춰 입었어요,NaN,NaN,NaN,커요,보통이에요,선명해요,두꺼워요
기장이 길어서 좋아요 몸이나 팔의 품은 생각보다 작습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
역시 믿고사는 무탠다드핏도 색감도 마음에드네요,남성, 176cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
만듦세가 좋고 레이어드하기 좋을것같아요그냥 입어도 예쁠것같아요,남성, 180cm, 75kg,커요,보통이에요,보통이에요,보통이에요
어느 옷 이든 이쁘게 레이어드 할수있는 길이에요 ,여성, 159cm, 55kg,커요,보통이에요,보통이에요,보통이에요
길이가 좀 긴감이 있지만 천도 좋고 만족합니다추천합니다,남성, 180cm, 58kg,보통이에요,보통이에요,보통이에요,보통이에요
안에 편하게 입으려고 샀는데 좋습니다 셔츠뿐만 아니라 후드에도 알맞게 내려와서 좋아요,남성, 184cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 길어서 작게 시켜도 될 거 같아요   레이어드하면 아주 예쁩니다 만족해요   ,NaN,NaN,NaN,보통이에요,보통이에요,선명해요,얇아요
레이어드 하려고 흰티셔츠를 많이 구매했고  큰 사이즈로 넉넉하게        해도 마음에 딱 들지 않았습니다  이 티셔츠는 정말 레이어드용인것 같습니다     여도 마음에 들게 충분히 레이어드 됩니다  ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
  사이즈 인데도 레이어드 티여서 그런지 엄청 길어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
벌써 3번째 사는 최애 레이어트 티예요  제일 편하고 좋은거 같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
옷 안에 이너로 입으면 너무 이쁩니다 하나쯤 갖고 있으면 좋아영,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
어떤 옷이든 안에 이너로 입으면 센스있게 입을 수 있는 옷입니당   ,남성, 184cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드 받쳐입기 좋아요 두번째 구매이네요요 ,남성, 173cm, 62kg,커요,밝아요,선명해요,보통이에요
너무 예쁘게 잘 나온 상품입니다ㅠㅠ 매일 착용할 수 있을 것 같아용,남성, 180cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요
맨투맨에 레이어드 입으려고 구매했습니다  단품으로 입어도 이쁘네요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
저렴한 가격에 품질이 너무 좋습니다  단품으로 입어도 굿굿,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
가성비최고 반팔티입니다  색감도 좋고 여름철에 딱입기 좋네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
가성비좋네요 근대 생각보다 커서 한치수 작게 입어도될듯,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
미디움인데 어깨허리는 애매한 라지사이즈인데 길이는 엄청 길어요 확실히 이너로는 활용이 좋을거같아요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
단품으로 샀다가 이너로 좋아서 세트로 다시샀어요   이너활용 좋아요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
무탠 기본티들은 모두 부드럽고 두께가 약간씩 있어서 좋아요 찌튀가 없어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 좀 많이 길어요  레이어드 하기에 좋을 것 같고 비침은 있었어요,여성, 170cm, 60kg,보통이에요,밝아요,선명해요,보통이에요
정말정말 무난한 레이어드용 티 여름에 한철입기 최고에요,남성, 182cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
휘뚜루 마뚜루 입기 좋고 색감도 감각적이고 매우 만족스러워요 ,남성, 180cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
기장이 긴 레이어드를 찾으신다면 만족하실 거 같습니다,남성, 175cm, 66kg,커요,보통이에요,보통이에요,보통이에요
길이감이 살짝긴편인에요 한사이즈 낮춰서구매하려고합니당,남성, 165cm, 57kg,커요,보통이에요,보통이에요,보통이에요
적당한 길이인줄알고 시켰는데 굉장히 깁니다 ㄷㄷ 배바지로 입으면 괜찮을꺼같습니다 ,남성, 180cm, 73kg,커요,밝아요,보통이에요,보통이에요
레이어드티 하나로 패피느낌 물씬나요  넘 좋아용,NaN,NaN,NaN,작아요,보통이에요,보통이에요,보통이에요
편하게 입을수 있고 레이어드 하기 좋아요 외출할 때에는 많이 챙기고 다닙니다 ,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
아무때나 입기 조아요 그냥 아무생각없이 입어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드 티를 하나 산다면 요걸로 사는걸 추천합니다,NaN,NaN,NaN,보통이에요,보통이에요,선명해요,두꺼워요
레이어드 용으로 딱입니다 근데 총장이 길다보니까 사이즈 선택하실때 꼭 생각해보시고 정하세요  사이즈 다운하는거 추천드립니다 평소 사이즈로 가면 총장 너무 길거 같습니다,남성, 171cm, 66kg,보통이에요,밝아요,선명해요,얇아요
빠른 배송 잘 받았습니다 사이즈도 핏도 너무 좋네요 ,여성, 165cm, 52kg,보통이에요,보통이에요,보통이에요,보통이에요
기장이 살짝 짧았으면 어땠을까 싶네요 길긴 엄청 길어요 레이어드엔 부족함이 없습니다  ,남성, 171cm, 73kg,커요,보통이에요,보통이에요,보통이에요
편하게 입고 나갈때나 레이어드 용으로 좋은 기본템 이에요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
역시 믿고사는 무텐다드 핏도좋고 재질도 좋아요 굿굿,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
작을까봐 걱정했는데 사이즈 딱 적당하고 레이어드하기 좋습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어링할 때 기장이 적당하게 나와서 좋았어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
처음에는 너무길어서 당황했는데넣어서입으면 정말 편하게 돌아다닐 수 있어요재질도 부드러운데 짱짱해요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
제 체형에는   가 딱 알맞게 사이즈가 떨어지네요 저번에 샀다가 잃어버려서 하나 더 샀습니다 ㅜㅜ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,얇아요
생각보다 사이즈가 엄청커서 좀 놀랐어요    근데 레이어드 해서 입기는 조아요,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
제 신체 기준으로 원하는 길이어서 좋아요  간단하게 입을 수 있어서 맘에 들어요,여성, 166cm, 64kg,보통이에요,보통이에요,보통이에요,보통이에요
항상 레이어드하면 무조건 이옷입니다 정말 기장감이나 어떤걸로든 완벽한 상품입니다 가성비 갑,남성, 175cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
기장감 좋고 레이어드하기 딱 좋은 것 같아요 저랑 신체스펙 비슷하시면  이 적당할 것 같아요,남성, 173cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
처음 받았을때는 너무 길어서 당황했지만레이어드로 상하의 연결할 때 좋네요,남성, 164cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
편하고 레이어드용으로 딱이네여 근데 생각보다 좀 길어요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
맨투맨과 레이어드 해서 입기 좋은 티셔츠입니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 정말많이 길어요 티셔츠질은좋은거같아요 다음엔 한사이즈 다운해서 사야될거같ㅇㅏ요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈는 맞는데 길이가 생각보다 너무 길었어요 ㅠ그래도 가격대 생각하면 만족합니다,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
좀 많이 길어서 수선해서 입어야 할 것 같아요 핏이 다른 티 보다 훨씬 좋아요,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
사이즈 계산을 잘못했습니다  평소 입던 옷보다 총장이 15   늘어나니까 수도복처럼 됐네요    환불은 귀찮아서 포기합니다 ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
남색 맨투맨도 총장이 길었는데 무탠 레이어드티  도 생각보다 기네요,남성, 175cm, 67kg,커요,보통이에요,보통이에요,보통이에요
길이가 긴 반면 폭은 넓지 않아서 반팔만 쏙 내려 울수 있음 주의하세요,여성, 174cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드 용도로 길이감 적당합니다  엄청 긴거 같은데 입다 보면 괜찮음 ,남성, 172cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
길게 레이어드할 수 있어서 힙한 느낌도 줄 수 있는 것 같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용 티가 필요해서 구매했는데 어깨는 딱맞는데 기장이 많이 기네요 평소에 오버핏 좋아하신다면 좋은 기장같아요 저는 좀 짧았으면 했네요 이 맨투맨은 세미오버해서 레이어드티랑 매치했을때 기장이 너무 길었어요 그래서 사진은 바지에 기장을 조금 숨겼습니다    ,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
길이가 너무 깁니다  레이어드 하기엔 힘들것 같아 넣어서만 입고있어요 ,NaN,NaN,NaN,커요,보통이에요,선명해요,보통이에요
키가 큰 편이라 기장긴 티셔츠찾기가 힘든데딱 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 너무 좋고 길이도 적당하네요 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
생각했던거보다 너무 커서 좀 실망했지만 접어서 고무줄로 묶고 입으면 괜찮네요,NaN,NaN,NaN,커요,보통이에요,선명해요,보통이에요
어 나이스 어 나이스 어 나이스 그냥 가성비도 좋고 재질도 좋고 두께도 좋고 걍 다 좋음,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 딱입니다  만족합니다 감사합니다,남성, 188cm, 83kg,커요,밝아요,선명해요,얇아요
그냥 키 185이상이시면  사이즈 추천드립니다,여성, 169cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
오버사이즈 너무 좋아해서 길고 긴 이너가 간절했는데 완전 딱이에요 한사이즈 작았다면 길이는 딱인데 폭이 좀 그랬을거 같고 요티 다 좋은데 폭이 좀 좁아여,남성, 180cm, 83kg,커요,밝아요,선명해요,보통이에요
기장 긴 아우터들 입을 때 좋습니다 길이도 적당하구요 스카갈 때 유용하게 입고있어요  ,여성, 170cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
