리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
옷 예뻐요  넥 디자인 하나로 스타일이 더욱 깔끔해지는 것 같아요   그런데 색상별로 약간의 사이즈 차이가 있어요  기장과 넥둘레 부분정도에서요  제 기준으론 블랙이 기장이 더 길고 넥라인이 더 작아서 더욱 마음에 들어요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
옷 예뻐요  넥 디자인 하나로 스타일이 더욱 깔끔해지는 것 같아요   그런데 색상별로 약간의 사이즈 차이가 있어요  기장과 넥둘레 부분정도에서요  이 색상은 넥둘레가 살짝 더 커요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
색감도 좋고 핏도 이뻐요 바지에 넣어서 입기에 제격입니다,남성, 175cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
가성비 좋아요 조금더 핏했으면 좋겠지만 무난하게 입을수있을거같아요,남성, 168cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 딱맞고 색감도 너무 좋아요 다른색도 사고싶네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
봄에 자켓 이너용으로 굳입니다 잘입을게요 역시 가성비 좋습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
핏도 넉넉하고 터치감이 너무 좋아요 긴팔티는 이거 살듯함,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
오버핏으로 입고 싶어서 한치수 크게 사입었어요 어깨 적당한데 길이가 너무 길더라구여 ㅠ 옷이 부드럽고 신축성 너무 좋아요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,두꺼워요
아주 싸게 잘 산 것 같어요 잘입을게요 감사합니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
좋네요 반바지에 위에 긴팔로 입으면 딱 좋긴합니다  봄가을에,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
상품 잘 받았습니다 이너로 좋아요 가성비 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
이너로 입기에 너무 좋아요낵라인이 마음에 들어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
무난하고 좋아요평범합니다가성비가 엄청 좋다고는 생각안들고 걍 평범해요 ㅎㅎ나쁘지는 않아요,남성, 174cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
긴팔 필요해서 기본 긴팔샀는데 짱짱하고 깔끔해요,남성, 174cm, 78kg,보통이에요,어두워요,선명해요,보통이에요
긴팔 필요해서 기본 긴팔샀는데 짱짱하고 깔끔해요,남성, 180cm, 68kg,보통이에요,밝아요,선명해요,보통이에요
찰랑거리는 소재감에 툭 떨어지는 실루엣이라서 여름에도 입기 좋고 특히 색감이 진짜 오묘해서 강추,남성, 185cm, 80kg,보통이에요,밝아요,선명해요,두꺼워요
보통 105사이즈 엑라입구요운동을 하다보니 110을 입기도해요엑스라지 샀는데 적당한 핏 나오네요원단 부드럽고 운동할때 입기 좋아요,남성, 183cm, 79kg,보통이에요,보통이에요,보통이에요,보통이에요
흰색도 있어서 사이즈 한사이즈 올려서 다른색으로 주문했네요  보다는   가 더 잘맞아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
그럭저럭 무난합니다강추할것도 없고 그냥 그래요평범합니다  대신 나쁠것도 없어요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
가성비 좋은 무탠다드 기본템이고 사이즈 적당해요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
