리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
기본티셔츠 필수템이에요 세탁해봐야 알겠지만 재질도 좋은듯합니다,남성, 176cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
너무 예뻐요 그리고 사이즈 너무 좋아요 어깨 좁은데 넓어 보입니다 가성비 쩌네요 다음에도 여기서 사야겠어요 ,남성, 170cm, 52kg,보통이에요,밝아요,보통이에요,보통이에요
무난해서 평소에 막 입기 좋은 기본 긴팔티인 것 같아요 ,여성, 163cm, 50kg,보통이에요,보통이에요,선명해요,보통이에요
무난한 긴팔티 아무데나 잘 입고 다녀요 핏 이쁘고 가성비 아주좋아요,남성, 181cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
무난한 기본 긴팔티 저렴하고 핏도 이뻐요 가성비 너무 좋아요,남성, 181cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
많이 두껍지도 않고 재질도 좋아서 자주 입을거 같아요,남성, 174cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
기본적인 롱슬리브 입니다 아주 깔끔한 디자인이고 가성비 좋습니다 ,남성, 176cm, 82kg,보통이에요,보통이에요,보통이에요,보통이에요
기본템으로 너무 좋고 단품으로 좋고 이너로도 활용하기 좋은거 같아요,남성, 165cm, 50kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 무탠다드 최고입니다 지금까지 산 쭉티중 최고네요,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
이거 살까말까 고민햇는데 ㄹㅇ 너무 조아요 꼭 사새요 꼭,남성, 170cm, 60kg,보통이에요,보통이에요,선명해요,얇아요
생각보다 길이가 좀 길긴 했지만 적당한 오버핏으로 입을 수 있어서 괜찮아요 두께는 초가을부터 입으면 될 것 같고 흰색은 비침 없네요 소매 길어서 좋아요 재질 부드럽고 입기 편해요 목 부분도 튼튼해용,여성, 164cm, 46kg,커요,보통이에요,보통이에요,보통이에요
적당히 여유있고 좋아요  믿고입는 무탠다드 기본티입니다 ,남성, 178cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
기본 긴팔은 이걸로 정착 했습니다  너무 만족해요,남성, 182cm, 100kg,보통이에요,보통이에요,보통이에요,보통이에요
두께 적당하고 완전 가성비 좋은거 같습니다 굿굿,남성, 172cm, 69kg,보통이에요,밝아요,선명해요,보통이에요
소매만 약간길고 낙낙히 잘맞아요  베이직이라 좋습니다,여성, 158cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
2개 구매해보고 너무 마음에 들어서 2개 더 구매했습니다  이거 입고 다닐 생각하니 가을 겨울이 너무 기대됨,여성, 167cm, 65kg,보통이에요,밝아요,보통이에요,보통이에요
175 73수축 감안해서 2업 했고사이즈 만족합니다,남성, 175cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
처직입니다왜사는지알겠어요대박입니다와우굿,남성, 173cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
좋습니다  그냥 좋아요 꼭 사세요 무조건 추천 드립니다,남성, 181cm, 82kg,보통이에요,보통이에요,선명해요,보통이에요
깔끔하고 가성비 갑 역시 무탠다드 사랑합니다 굿,남성, 174cm, 63kg,보통이에요,보통이에요,선명해요,얇아요
저렴한가격에 구매했어요 반바지랑 입으면 딱일것같아요,남성, 180cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드는 항상 기본값 이상은 해서 믿고 샀어요 역시 마음에 들어요   ,남성, 177cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 무탠다드 핏이고 뭐고 너무 완벽하고 이 가격에 퀄리티 말이 안돼요,남성, 172cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
완전 좋아요   기본템으론 이보다 완벽할 수 없음   흥해라,남성, 178cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요
목부분이 잘 안늘어나서 좋아요 앞으로도 자주 애용할거 같아요,남성, 174cm, 56kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드 무탠다드 하는 이유가 있군여   어깨 넓어보일 줄 알았는데 전혀   그저 예ㅃ븜,여성, 165cm, 52kg,보통이에요,보통이에요,보통이에요,보통이에요
두께는 보통이에요 여름에는 더워서 못입고 봄 가을에 싱글로 입어도 좋을듯 ㅎㅎ 핏은 스탠다드 합니다 평소 입으시는 사이즈로 하세요ㅎㅎ 크게 입으실분은 사이즈업 하세요 ,남성, 180cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 무탠다드는 가성비가 엄청 좋아요    모두들 한 개씩은 가지고 있어야 됩니다   ,남성, 180cm, 73kg,보통이에요,보통이에요,선명해요,보통이에요
2개에 1 8인데 이정도면 겨울에 이너로도 좋고 단품으로도 탄탄해요,남성, 184cm, 86kg,보통이에요,보통이에요,선명해요,보통이에요
가을에 무난하게 입으려고 샀어요 한 사이즈 크게 가니까 세미오버핏 나오네요,남성, 171cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
