gender,height,weight,item,content,size,brightness,color,thickness
남성, 175cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,더운 날씨에도 입기 편하고 좋아요. 두께감 적당하고 목 재봉도 잘 되어있어서 안들어날것 같습니다.,보통이에요,밝아요,선명해요,보통이에요
여성, 160cm,46kg,에센셜 쿨 코튼 2-PACK 티셔츠,편하게 잘 입었습니다! 시원하고 가성비 좋아서 만족,커요,보통이에요,선명해요,얇아요
남성, 177cm,75kg,에센셜 쿨 코튼 2-PACK 티셔츠,남편 사줬는데 잘 입구 다녀요!!동네 다닐때 편하게 최고입니덩,커요,보통이에요,보통이에요,보통이에요
남성, 173cm,66kg,에센셜 쿨 코튼 2-PACK 티셔츠,옷 검은색 흰색 다 너무 이뻐요 사이즈도 딱 적당해서 진짜 맨날 입는거 같아요,보통이에요,보통이에요,보통이에요,보통이에요
여성, 157cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,편하고 좋아서 친구한테 생일 선물로 샀어요. 잘 맞는지 모르겠는데 아마 괜찮아요 ㅋ,보통이에요,보통이에요,보통이에요,보통이에요
여성, 164cm,50kg,에센셜 쿨 코튼 2-PACK 티셔츠,넘 이뻐용 재질이 되세 시원할 것 같습니다 좋아욧,커요,보통이에요,선명해요,얇아요
남성, 164cm,55kg,에센셜 쿨 코튼 2-PACK 티셔츠,너무너무너무너무너무너무너무너무너무너무너무이뻐요,커요,보통이에요,보통이에요,보통이에요
여성, 167cm,55kg,에센셜 쿨 코튼 2-PACK 티셔츠,크게입는게 좋아서 크게 시켰는데 핏이 딱 이뻐요 그리고 얇은데 안비춰서 좋아요!,커요,보통이에요,선명해요,얇아요
남성, 179cm,75kg,에센셜 쿨 코튼 2-PACK 티셔츠,오버핏으로 입으려고 한치수 업 했습니다심플하고 저렴해서 잘 산거 같아요한번 빨았는데  목부분 쉽게.늘어날거같진않네요,커요,보통이에요,보통이에요,보통이에요
여성, 158cm,46kg,에센셜 쿨 코튼 2-PACK 티셔츠,조금 크긴하지만 넉넉한 맛에 입을 수 있고 소재가 좀 두껍지만 탄탄하다고 느껴져서 좋아용,보통이에요,보통이에요,보통이에요,두꺼워요
남성, 178cm,83kg,에센셜 쿨 코튼 2-PACK 티셔츠,사이즈 엄청 넉넉해서 한치수 작게 가셔도 이쁘게 나올거 같아요,커요,보통이에요,보통이에요,보통이에요
남성, 183cm,100kg,에센셜 쿨 코튼 2-PACK 티셔츠,체형이 큰편이라 사이즈 걱정을 했는데 딱 맞아서 좋았어요.,보통이에요,보통이에요,선명해요,보통이에요
남성, 185cm,83kg,에센셜 쿨 코튼 2-PACK 티셔츠,반바지와 코디해도 아무렇게도 ㅗ디해도이뻐요 :)루즈핏이니 참고하세요,보통이에요,밝아요,보통이에요,보통이에요
여성, 173cm,75kg,에센셜 쿨 코튼 2-PACK 티셔츠,"기본티로 구매하기 좋아요. 가성비도 좋습니다.다만, 사이즈가 조금 커요. 오버핏으로 입고 싶으시면 평소에 입으시는 사이즈로, 기본핏으로 입고 싶으시면 한단계 아래로 추천드려요!",커요,보통이에요,선명해요,보통이에요
남성, 183cm,75kg,에센셜 쿨 코튼 2-PACK 티셔츠,저렴하게 잘산것 같아요.깔끔하게 잘입을 수 있습니다.,보통이에요,밝아요,선명해요,보통이에요
남성, 171cm,60kg,에센셜 쿨 코튼 2-PACK 티셔츠,배송 빠르고 제품도 무난하게 괜찮습니다! 데일리용으로 좋아요,보통이에요,보통이에요,보통이에요,얇아요
남성, 171cm,80kg,에센셜 쿨 코튼 2-PACK 티셔츠,무난하게 입고 좋았어요~~다음에는 다른 옷들도 도전해봐야겠어요~~오예~٩(ˊᗜˋ)و ,보통이에요,보통이에요,선명해요,보통이에요
남성, 167cm,67kg,에센셜 쿨 코튼 2-PACK 티셔츠,여름에 입기 딱좋고 면이 얇아서 완전 시원해요 널널해서 편하고다만 좀 길어요ㅠㅠ,보통이에요,보통이에요,선명해요,얇아요
남성, 174cm,69kg,에센셜 쿨 코튼 2-PACK 티셔츠,커버낫 휘뚜루마뚜루 입기편함 굿굿 아주좋습니다,보통이에요,보통이에요,보통이에요,보통이에요
여성, 157cm,47kg,에센셜 쿨 코튼 2-PACK 티셔츠,오버핏 입고 싶어서 좀 넉넉하게 시켰어요.생각보다 길어요 ㅠ어깨도 좀 커보이지만 그래도 맘에 들엉요다만 생각보다 시원하지 않네요 ,커요,밝아요,선명해요,보통이에요
남성, 167cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,기본티로 매우좋아요.재질은 두껍지않고 편해요.,보통이에요,보통이에요,보통이에요,보통이에요
남성, 179cm,68kg,에센셜 쿨 코튼 2-PACK 티셔츠,총장 길이가 길어서 레이어드 이너로 입기 좋아요! 목 부분도 짱짱하고 가성비가 괜찮습니다.,커요,보통이에요,선명해요,얇아요
남성, 170cm,83kg,에센셜 쿨 코튼 2-PACK 티셔츠,재질부터 디자인 기본으로 입기 딱좋아요 잘입겠습니다,보통이에요,보통이에요,보통이에요,보통이에요
남성, 168cm,64kg,에센셜 쿨 코튼 2-PACK 티셔츠,색깔이 선명하고 얇은옷이 필요했는데 이 옷사고 만족했습니다.,커요,보통이에요,보통이에요,보통이에요
남성, 170cm,66kg,에센셜 쿨 코튼 2-PACK 티셔츠,옷이 얇고 편하고 어떤 바지랑 입어도 예뻐요바지 안에 넣어 입어도 핏 예쁘게 잘 나왔어요,보통이에요,보통이에요,보통이에요,얇아요
