상품명,구매사이즈,성별,키,몸무게,착용사이즈,착용두께감,리뷰
슬림 크롭 12.5oz 트윌 크림진,34,남성, 176cm, 74kg,보통이에요,보통이에요,34사이즈 잘맞습니다. 기장 안 줄여도 입을만 합니다.
슬림 크롭 12.5oz 트윌 크림진,28,남성, 175cm, 61kg,보통이에요,보통이에요,당장에 크림진이 하나 필요할 것 같아서 샀는데 너무 만족스럽고 메종키츠네 가디건하고 코디 해봤을때 엄청 이뻐요 뭣보다 바지 사이즈 딱 맞게 시켰는데 다리 길어보이고 바지 이쁘고 안 어울리는 코디가 없을 듯 하여 너무 만족스럽습니다
슬림 크롭 12.5oz 트윌 크림진,28,여성, 162cm, 44kg,커요,보통이에요,"허벅지 부분이 큰데 나쁘지않아요
좀더 일자핏이었으면 좋았을거같아요"
슬림 크롭 12.5oz 트윌 크림진,32,남성, 173cm, 73kg,보통이에요,보통이에요,테이퍼드핏으로 입으려고 사이즈 올렸더니 딱 이쁜듯
슬림 크롭 12.5oz 트윌 크림진,32,남성, 179cm, 63kg,보통이에요,보통이에요,너무이쁘고 핏잘떨어져서 가격대비 만족감 좋았어요
슬림 크롭 12.5oz 트윌 크림진,30,남성, 168cm, 70kg,보통이에요,보통이에요,"색감 미쳤습니다 너무 좋네요
일반적인 크림진들 누런색감이 마음에 안들어
밝다는 후기보고 구매했는데 흰색에 가까운
딱 크림색 너무 예쁩니다
핏감도 슬림하니 딱 원하는 핏이라 더 만족합니다
너무 착한가격에 인생바지 득템
별 다섯개도 적어요^^"
슬림 크롭 12.5oz 트윌 크림진,32,남성, 170cm, 70kg,보통이에요,보통이에요,편하게 입기 좋아요 사이즈는 정사이즈로 사세여
슬림 크롭 12.5oz 트윌 크림진,34,남성, 184cm, 68kg,보통이에요,보통이에요,깔끔하고 무난하니까 이 색깔 필요한 분들은 이 상품 사시면 좋을듯
슬림 크롭 12.5oz 트윌 크림진,30,남성, 173cm, 66kg,보통이에요,보통이에요,허벅지 부분 조금 타이트하신 분들은 한단계 사이즈업 해서 주문하시면 좋을 것 같습니다! 바지 강추합니다
슬림 크롭 12.5oz 트윌 크림진,30,남성, 173cm, 65kg,보통이에요,보통이에요,크림진 중에 최고인거 같아요 핏도 딱 정당하고 이뻐요
슬림 크롭 12.5oz 트윌 크림진,32,남성, 170cm, 70kg,보통이에요,보통이에요,집 드러워서 죄송합니다.. 근데 크림진 너무 입어보고 싶었는데 이쁘네요~!
슬림 크롭 12.5oz 트윌 크림진,30,남성, 177cm, 65kg,보통이에요,보통이에요,30으로 샀는데 벨트없이 딱 적당하고 좋았어요. 크림진이긴한데 화이트 색 느낌이 더 강한 느낌입니다:) 아무쪼록 잘샀고 잘입고 다니겠습니다
슬림 크롭 12.5oz 트윌 크림진,36,남성, 180cm, 90kg,보통이에요,보통이에요,"핏이 이쁘구요. 색감도 좋습니다.
싸게 잘샀습니다."
슬림 크롭 12.5oz 트윌 크림진,32,남성, 170cm, 64kg,보통이에요,보통이에요,무난한 크롭핏 팬츠입니다. 편하게 입을 수 있습니다. 크림색도 깨끗하게 잘 나왔어요
슬림 크롭 12.5oz 트윌 크림진,32,남성, 177cm, 64kg,보통이에요,보통이에요,블랙프라이데이로 저렴하게 구매했어요 좋아요
슬림 크롭 12.5oz 트윌 크림진,28,남성, 163cm, 52kg,보통이에요,보통이에요,스판이 없어서 활동이 살짝 불편하지만 색과 디자인은 이뻐요.
슬림 크롭 12.5oz 트윌 크림진,30,남성, 177cm, 63kg,보통이에요,보통이에요,바지 착용감도 좋고 길이는 짧은줄 알았는데 딱맞아서 좋았어요
슬림 크롭 12.5oz 트윌 크림진,30,남성, 173cm, 66kg,보통이에요,보통이에요,바지가 살짝 작긴 한데 이 가격이면 살만해요 나쁘지 않아요
데일리 퍼티그 팬츠 블랙,L,여성, 180cm, 80kg,커요,보통이에요,예쁘고 사이즈가 좀 커요. 그런데 블랙이 어두운 갈색 처럼 보여요.
데일리 퍼티그 팬츠 올리브,L,남성, 170cm, 68kg,커요,보통이에요,너무좋아요 적당한 와이드 부드럽고 시원한재질 짱
데일리 퍼티그 팬츠 에크루,M,남성, 177cm, 67kg,보통이에요,보통이에요,"커버낫 데일리 퍼티그 팬츠, 에크루 색상 여름에 시원하고 밝게 코디하기 좋네요."
데일리 퍼티그 팬츠 블랙,M,남성, 177cm, 67kg,보통이에요,보통이에요,"커버낫 데일리 퍼티그 팬츠 블랙, 시원하게 데일리룩으로 활용도 좋습니다."
데일리 퍼티그 팬츠 올리브,L,,,,보통이에요,보통이에요,"바지 너무 이뻐요 딱 떨어지고 편하네요
이뻐요 여름에 입기에도 괜찮아요"
데일리 퍼티그 팬츠 블랙,L,,,,보통이에요,보통이에요,"편하고 가벼워서 데일리룩으로 너무 좋아요.
검정이라서 상의 맞추기도 편해요"
데일리 퍼티그 팬츠 블랙,XL,,,,보통이에요,보통이에요,"재질 마음에 들고 여름에 입어도 덥지 않을정도에요
봄 여름 가을 다 입을 수 있을 듯"
데일리 퍼티그 팬츠 베이지,S,,,,커요,보통이에요,사이즈가 좀 크긴한데 편하게 아무때나 입기 좋아요
데일리 퍼티그 팬츠 올리브,M,,,,보통이에요,보통이에요,베이지로 샀다가 카키가 넘 이뻐보여서 교환했는데 만족해요
데일리 퍼티그 팬츠 올리브,L,,,,커요,얇아요,기본 퍼티그 팬츠입니다! 내구성도 좋은 것 같아 휘뚜루마뚜루 입기 좋습니다. 추천드려요!
데일리 퍼티그 팬츠 베이지,L,,,,보통이에요,보통이에요,생각보다 통도 크고 허리고 크지만 캐주얼하게 입기 좋네요
데일리 퍼티그 팬츠 올리브,L,남성, 179cm, 80kg,보통이에요,보통이에요,사이즈도 넉넉하고 기장도 딱 예쁘게 떨어집니다
데일리 퍼티그 팬츠 에크루,M,남성, 168cm, 68kg,보통이에요,보통이에요,자주 애용하는 브랜드로 사이즈 좋고 재질도 마음에들고 좋습니다
데일리 퍼티그 팬츠 올리브,L,남성, 178cm, 74kg,보통이에요,보통이에요,"갑자기 더워져서 지금입기 조금 두꺼운데
바지 느낌은 갠찮네요"
데일리 퍼티그 팬츠 올리브,S,,,,커요,보통이에요,조은옷 저렴하게 삿어요~~편하게 이쁘게 잘 입을수잇을것같애요
데일리 퍼티그 팬츠 올리브,L,,,,보통이에요,보통이에요,퀄리티는 정말 믿고 고르는 커버낫이죠 너무좋아요
데일리 퍼티그 팬츠 올리브,M,,,,보통이에요,보통이에요,"본인 하체비만으로 엉덩이가 다소 조이나 허용범위 안에서의 부대낌으로 합격.
본인 기대하던 색감과 핏으로 고득점 취득."
데일리 퍼티그 팬츠 베이지,L,,,,보통이에요,두꺼워요,"곧 여름이라 이제는 조금 더울거 같지만, 사이즈나 색상 핏 모두 다 맘에 듭니다! 너무 편하고 좋네요~"
데일리 퍼티그 팬츠 올리브,S,남성, 178cm, 56kg,보통이에요,보통이에요,"신기한 재질의 바지 입니다.
만족하고 입을때 바스락 바스락 거려요"
데일리 퍼티그 팬츠 베이지,L,,,,커요,보통이에요,"카키 구입해서 좋아서 세일할때 베이지 추가 픽했어요
적당하게 넉넉합니다"
데일리 퍼티그 팬츠 베이지,L,남성, 181cm, 84kg,보통이에요,보통이에요,허리가 살짝 커요 그게 좀 아쉽긴 한데 여룸에 편하게입기좋아요
데일리 퍼티그 팬츠 에크루,XL,남성, 181cm, 85kg,보통이에요,보통이에요,여름에 면바지에 걸치기 좋고 봄억 쟈켓하고코디하기좋아요
