,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
1322,LV 4 런던마켓,남성, 180cm, 92kg,릴렉스 핏 크루 넥 반팔 티셔츠 [라이트 카키],XXL,5,너무너무이뻐요!저렴하게 잘삿어여~!다음에 또 구매할께요,보통이에요,보통이에요,보통이에요,보통이에요
1323,LV 5 불독스,남성, 180cm, 77kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,5,너무좋습니다 세일할때사서 너무완벽하네요굿굿,보통이에요,보통이에요,보통이에요,보통이에요
1324,LV 5 톰과체리,남성, 174cm, 82kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],2XL,4,디자인은 오버핏이고 원단이 좋네요. 역시 무신사입니다.,보통이에요,보통이에요,보통이에요,보통이에요
1325,LV 3 콜팔머,남성, 172cm, 67kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,5,아무 옷이나 코디하기 정발 편하고 생각보다 사이즈는 컷는데 레이어드나 그냥 입기에도 좋았어요.,커요,밝아요,선명해요,두꺼워요
1326,LV 5 xxvvxx,남성, 174cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [크림],L,5,무탠다드 가성비 넘 좋은거같네염 잘 입구있습니당 ,보통이에요,밝아요,보통이에요,보통이에요
1327,LV 4 뉴비_f08194bb,남성, 171cm, 67kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,4,딱 좋습니다 무난한 오버핏 흰티 사려면 이거 사세염,보통이에요,보통이에요,보통이에요,보통이에요
1328,LV 5 선비킴,남성, 166cm, 58kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],M,5,핏도 낙낙하고 재질도 좋아서 좋네요. 재구매의사있어요~,보통이에요,보통이에요,보통이에요,보통이에요
1329,LV 3 아웅요,여성, 168cm, 59kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],2XL,5,슬랙스에도 잘 어울리고 청바지에도 잘 어울립니다.,보통이에요,보통이에요,보통이에요,보통이에요
1330,LV 5 dkifke,남성, 175cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블루 그레이],L,5,편하고 좋습니다 목부분이 짱짱해서 맘에 듭니다!!,보통이에요,보통이에요,보통이에요,보통이에요
1331,LV 5 dbsknsmsIhsnrm,여성, 100cm, 100kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],S,5,너무 예쁘고 사이즈 핏 원단 다 좋아요 두번째 구매입니다,보통이에요,보통이에요,보통이에요,보통이에요
1332,LV 4 kyukat,남성, 174cm, 65kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],XL,5,역시 믿고 사고 쓰는 무탠다드! 매 여름마다 구매하는 것 같습니다 다음에 또 구매할게욥,보통이에요,밝아요,보통이에요,보통이에요
1333,LV 5 닉네임을바꿔야지,여성, 164cm, 48kg,릴렉스 핏 크루 넥 반팔 티셔츠 [퍼플],XL,5,원래 남자친구 막 입으라고 사준건데 보라색이 남자친구랑 안어울려서 제가 입게되었어요키 164가 입기엔 조금 크지만 그냥 마실용으로 입기로 했어요,보통이에요,보통이에요,선명해요,보통이에요
1334,LV 3 A.E,남성, 181cm, 78kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,5,사이즈도 적당하고 무난하게입기 너무좋습니다 여름기본티로 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1335,LV 3 Ty_yh_che,남성, 172cm, 73kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],M,5,"벌써 같은제품 3번째 주문하는데, 가성비도 좋고, 핏도 좋고, 질감도 좋고 다좋아요 ㅎ",보통이에요,보통이에요,보통이에요,두꺼워요
1336,LV 4 우리집에왜왔니33,남성, 174cm, 73kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],L,5,릴랙스핏이니 만큼 조금 여유로운 핏감과 두툼한 원단 덕분에 살이 비치지않아 좋네요,커요,보통이에요,보통이에요,두꺼워요
1337,LV 4 김감디,남성, 175cm, 60kg,릴렉스 핏 크루 넥 반팔 티셔츠 [더스티 민트],M,5,색감이랑 핏이 생각보다 너무 이뻤고 옷 재질도 좋아서 오래 입을 수 있을 것 같아요.,보통이에요,보통이에요,선명해요,보통이에요
1338,LV 3 뉴비_eca2382affea,남성, 173cm, 63kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,5,편하고 커서 좋아요. 막 입고 다니기 좋을 것 같아요,커요,밝아요,선명해요,보통이에요
1339,LV 3 우비니리우스,남성, 182cm, 60kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,5,길이 딱 맞고 얇어서 좋아요 목 부분이 넓은게 조금 아쉽지만 만족해요,보통이에요,보통이에요,보통이에요,보통이에요
1340,LV 3 우비니리우스,남성, 182cm, 60kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],L,5,길이 딱 맞고 얇어서 좋아요 목 부분이 넓은게 조금 아쉽지만 만족해요,보통이에요,보통이에요,보통이에요,보통이에요
1341,LV 3 우비니리우스,남성, 182cm, 60kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],L,5,길이 딱 맞고 얇어서 좋아요 목 부분이 넓은게 조금 아쉽지만 만족해요,보통이에요,보통이에요,보통이에요,보통이에요
1342,LV 4 에코땡구,남성, 170cm, 64kg,릴렉스 핏 크루 넥 반팔 티셔츠 [라이트 카키],M,5,무지기본티는 역시 무신사티가 제일 좋은거 같아요땀나면 티가 젖는게 보여서 아쉽긴 한데 이뻐요 ,보통이에요,보통이에요,보통이에요,보통이에요
1343,LV 3 로꼬뽀고,남성, 173cm, 68kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],L,5,배송도 빠르고 가성비 너무 좋은 제품입니다 사이즈도 잘 맞아요 감사합니다,보통이에요,보통이에요,보통이에요,보통이에요
1344,LV 3 Eddy23,남성, 175cm, 79kg,릴렉스 핏 크루 넥 반팔 티셔츠 [머스터드],XL,5,빛 받아서 그렇지 원래는 조금 더 어두운 색상입니다. 할인 엄청한 가격으로 사서 좋네요,커요,어두워요,보통이에요,보통이에요
1345,LV 5 D5,남성, 174cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [건메탈],L,5,사이즈도 적당하니 아주 굳입니다 여름 무섭지않아요,보통이에요,보통이에요,보통이에요,보통이에요
1346,LV 4 킹세연,여성, 172cm, 63kg,릴렉스 핏 크루 넥 반팔 티셔츠 [스모크 핑크],S,5,스몰로 입는게 딱 예쁘네요! 같은 제품 미디움은 좀 큽니다. ,보통이에요,보통이에요,흐려요,보통이에요
1347,LV 4 킹세연,여성, 172cm, 63kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],M,5,색이 예뻐요!!! 근데 좀 오바핏인느낌 ㅎㅎ미디움도 좀 크네요 ^^,커요,밝아요,선명해요,보통이에요
1348,LV 3 joonb12,남성, 180cm, 67kg,릴렉스 핏 크루 넥 반팔 티셔츠 [퍼플],L,4,가성비로 무난하게 입기 좋아요~ 좋은 가격으로 샀어요,보통이에요,보통이에요,선명해요,보통이에요
1349,LV 3 뉴비_781a875f,남성, 175cm, 74kg,릴렉스 핏 크루 넥 반팔 티셔츠 [스모크 핑크],S,5,어깨랑 소매선 잘 맞고 원단 질 좋습니다. 가뵵개 입고 다니기 좋네요,보통이에요,보통이에요,보통이에요,보통이에요
1350,LV 3 우비니리우스,남성, 182cm, 60kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],L,5,길이 딱 맞고 얇어서 좋아요 목 부분이 넓은게 조금 아쉽지만 만족해요,보통이에요,보통이에요,보통이에요,보통이에요
1351,LV 3 우비니리우스,남성, 182cm, 60kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],L,5,길이 딱 맞고 얇어서 좋아요 목 부분이 넓은게 조금 아쉽지만 만족해요,보통이에요,보통이에요,보통이에요,보통이에요
1352,LV 4 에코땡구,남성, 170cm, 64kg,릴렉스 핏 크루 넥 반팔 티셔츠 [라이트 카키],M,5,무지기본티는 역시 무신사티가 제일 좋은거 같아요땀나면 티가 젖는게 보여서 아쉽긴 한데 이뻐요 ,보통이에요,보통이에요,보통이에요,보통이에요
1353,LV 3 로꼬뽀고,남성, 173cm, 68kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],L,5,배송도 빠르고 가성비 너무 좋은 제품입니다 사이즈도 잘 맞아요 감사합니다,보통이에요,보통이에요,보통이에요,보통이에요
1354,LV 3 Eddy23,남성, 175cm, 79kg,릴렉스 핏 크루 넥 반팔 티셔츠 [머스터드],XL,5,빛 받아서 그렇지 원래는 조금 더 어두운 색상입니다. 할인 엄청한 가격으로 사서 좋네요,커요,어두워요,보통이에요,보통이에요
1355,LV 5 D5,남성, 174cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [건메탈],L,5,사이즈도 적당하니 아주 굳입니다 여름 무섭지않아요,보통이에요,보통이에요,보통이에요,보통이에요
1356,LV 4 킹세연,여성, 172cm, 63kg,릴렉스 핏 크루 넥 반팔 티셔츠 [스모크 핑크],S,5,스몰로 입는게 딱 예쁘네요! 같은 제품 미디움은 좀 큽니다. ,보통이에요,보통이에요,흐려요,보통이에요
1357,LV 4 킹세연,여성, 172cm, 63kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],M,5,색이 예뻐요!!! 근데 좀 오바핏인느낌 ㅎㅎ미디움도 좀 크네요 ^^,커요,밝아요,선명해요,보통이에요
1358,LV 3 joonb12,남성, 180cm, 67kg,릴렉스 핏 크루 넥 반팔 티셔츠 [퍼플],L,5,가성비로 무난하게 입기 좋아요~ 좋은 가격으로 샀어요,보통이에요,보통이에요,선명해요,보통이에요
1359,LV 3 뉴비_781a875f,남성, 175cm, 74kg,릴렉스 핏 크루 넥 반팔 티셔츠 [스모크 핑크],S,5,어깨랑 소매선 잘 맞고 원단 질 좋습니다. 가뵵개 입고 다니기 좋네요,보통이에요,보통이에요,보통이에요,보통이에요
1360,LV 3 뉴비_c8401f8acc5a,남성, 186cm, 80kg,릴렉스 핏 크루 넥 반팔 티셔츠 [머쉬룸],XL,5,입어보니  핏이조아요 제품가격대비 너무좋고유,보통이에요,보통이에요,보통이에요,보통이에요
1361,LV 4 닥터마틴 모노,남성, 178cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],L,5,기본티로 딱 좋아요보통 상의 105입는데 이건 라지도 맞네요,보통이에요,보통이에요,보통이에요,보통이에요
1362,LV 5 leungkwanho,남성, 173cm, 57kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],M,5,어떤 스타일도 잘 하고 예쁘고 캐주얼이나 정식 스타일을도 할 수 있다!,보통이에요,보통이에요,보통이에요,보통이에요
1363,LV 5 쟁중스,남성, 167cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],L,5,이 제품으로 2년 전에 샀었는데 재질이 많이 달라졌네요더 좋아졌어요!아쉬운건 개체별 차이가 있는건지 넥이 많이 넓네요,보통이에요,보통이에요,보통이에요,보통이에요
1364,LV 3 뉴비_c77a9945,남성, 174cm, 58kg,릴렉스 핏 크루 넥 반팔 티셔츠 [퍼플],L,5,색깔이 너무 선명하고 예뻐서 마음에 듭니다.보라색 좋아해서 잘입겠습니다,커요,밝아요,선명해요,보통이에요
1365,LV 6 RAPYO,남성, 178cm, 71kg,릴렉스 핏 크루 넥 반팔 티셔츠 [네이비],L,5,핏도 적당하고 가격도 착하고 마음에 듭니다. 필요할 때마다 구매하고 있어요. ,보통이에요,어두워요,선명해요,보통이에요
1366,LV 5 Pharos,남성, 174cm, 68kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],M,5,잘 입을게요감사합니다저렴하게 잘 샀습니다요,보통이에요,보통이에요,보통이에요,보통이에요
1367,LV 5 SsWwan,남성, 176cm, 76kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블루],L,5,싸이 흠0쇼에서 입으려고 샀어요 가격도 싸고 딱 무난한 핏이에요,보통이에요,보통이에요,보통이에요,보통이에요
1368,LV 5 진짜남,남성, 165cm, 59kg,릴렉스 핏 크루 넥 반팔 티셔츠 [다크 그레이],M,5,가성비 너무 좋은 뭇핸다드~근데 기장 2센치만 줄여줘요잉,보통이에요,보통이에요,보통이에요,보통이에요
1369,LV 4 먹붕어,남성, 175cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [오트밀],M,3,저스트입니다. 목 라운드부분이 너무 넓고 기장이 좀 짧다고 느껴져서 외출용으로 좀 어렵고 운동가거나 집에서 편하게 입는 용도같음. 자칫 잘못하면 제3의 눈이 돌출되어 보일 수 있고 많이 얇아서 본인이 체지방 10%때 아니면 비추합니다,보통이에요,밝아요,보통이에요,얇아요
1370,LV 5 쭌이닝,남성, 182cm, 71kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],3XL,5,무탠다드 기본티는 믿고 사는 것 같아요 짱짱해서 좋아요!!,보통이에요,보통이에요,보통이에요,보통이에요
1371,LV 5 묨묨이,남성, 172cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],M,5,파란색이 일단 독특해서 좋습니다. 오버사이즈라서 입기에 편하고 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1372,LV 5 묨묨이,남성, 172cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [머스터드],L,5,머스타드색이 일단 독특해서 좋습니다. 오버사이즈라서 입기에 편하고 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1373,LV 5 묨묨이,남성, 172cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [스모크 핑크],M,5,핑크색이 일단 독특해서 좋습니다. 오버사이즈라서 입기에 편하고 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1374,LV 5 묨묨이,남성, 172cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [퍼플],L,5,색이 일단 독특해서 좋습니다. 오버사이즈라서 입기에 편하고 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1375,LV 5 캐주얼이너무너무사랑해요,남성, 180cm, 64kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],M,5,넣입하기 폼도 작아서 좋아요 색감 이쁩니다 많이파세요,보통이에요,보통이에요,보통이에요,보통이에요
1376,LV 5 농부님,남성, 180cm, 78kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,5,편하게 잘 맞습니다 유티랑 비슷하고 적당히 두껍고 편합니다,보통이에요,보통이에요,보통이에요,보통이에요
1377,LV 5 신현동 날다람쥐,남성, 174cm, 68kg,릴렉스 핏 크루 넥 반팔 티셔츠 [스모크 핑크],L,5,생각보다 색상이 더 예뻐서 마음에 들어요 잘 입을게요~,보통이에요,보통이에요,보통이에요,보통이에요
1378,LV 4 밥먹을래?,남성, 183cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],XL,5,저는 이렇게 하얀 티셔츠가 갖고 싶었어요 주름이나 이런건 걱정되지만!,보통이에요,보통이에요,보통이에요,보통이에요
1379,LV 5 말맴,남성, 183cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,4,막 입기 너무 좋습니다.내구성은 조금 아쉬운 느낌입니다.,보통이에요,보통이에요,보통이에요,보통이에요
1380,LV 5 hmghmgh,남성, 171cm, 69kg,릴렉스 핏 크루 넥 반팔 티셔츠 [크림],M,5,색깔도 좋고 무난무난하게 입을수있어요오버핏느낌 굿,보통이에요,보통이에요,보통이에요,보통이에요
