,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
1401,LV 4 떫은비누,남성, 170cm, 66kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,4,이제는 여름 필수템이 되어버린 기본템이네요 몇장째 구매하는지...ㅎㅎ 굿,보통이에요,보통이에요,보통이에요,보통이에요
1402,LV 6 나이트로드,남성, 170cm, 63kg,릴렉스 핏 크루 넥 반팔 티셔츠 [에그렛],M,5,두께 적당하고 적당히 널널하네요 색깔은 사진보다 노란색을 띄는거 같아요,보통이에요,보통이에요,보통이에요,보통이에요
1403,LV 3 ㅌㅎ ㅌ,남성, 167cm, 65kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],S,5,시원하고 생각보다 꼭툭튀가 잘 안보여서 니플패치 필요없을 정도입니다,보통이에요,보통이에요,보통이에요,보통이에요
1404,LV 5 Koshino,남성, 185cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [스모크 핑크],XXL,5,빠른배송 감사합니다.잘받았습니다.만족합니다.,보통이에요,보통이에요,보통이에요,보통이에요
1405,LV 5 Koshino,남성, 185cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [머스터드],XXL,5,빠른배송 감사합니다.잘받았습니다.만족합니다.,보통이에요,보통이에요,보통이에요,보통이에요
1406,LV 4 뉴비_883fbabea1cf,남성, 178cm, 83kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,4,할인할 때 구매했는데 무신사 스탠다드 답게 가성비는 좋습니다. 얇아서 여름에 시원하게 입을 수 있을것 같아요.,보통이에요,어두워요,보통이에요,얇아요
1407,LV 3 Hush_,남성, 179cm, 85kg,릴렉스 핏 크루 넥 반팔 티셔츠 [올리브],L,5,치수 적당하고(정핏도 오버핏도 아닌 편안한 치수) 얇아서 더운 날씨에 입기 딱입니다. 다만 얇아서 단정한 느낌은 안나기 때문에 그냥 동네 편하게 다니는 용도로 괜찮은 거 같아요. 컬러 다양한 것도 맘에 드네요. ,보통이에요,보통이에요,선명해요,얇아요
1408,LV 5 퐁코,남성, 183cm, 65kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,5,할인할때 샀는데 집에서나 집앞에 마실나갈때 입기 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1409,LV 5 서동키,남성, 183cm, 80kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],XL,5,가성비로 한철 지내는 용도로 편하게 입기 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
1410,LV 4 김태영95,남성, 186cm, 65kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],XL,5,원단 좋고 편해서 여러벌 구매했어요. 매 여름마다 편하게 입기 좋은 거 같아요.,보통이에요,보통이에요,보통이에요,보통이에요
1411,LV 4 브론즈_40317787ebb,남성, 169cm, 66kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],M,5,기본 티셔츠로 딱입니다. 어디든 어울려서 가볍게 입을 슈 있어요,보통이에요,보통이에요,보통이에요,보통이에요
1412,LV 3 아멜리에제이,남성, 177cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],L,5,컬러감 예쁘고 무난해요 카고반바지와도 매치하려고 휴가 때 입었어요 맘에 쏙 듭니다 면이 톡톡해서 살짝 두께감 있지만 원단 좋고 핏이 맘에 듭니다 ,보통이에요,보통이에요,선명해요,두꺼워요
1413,LV 3 뉴비_db5b6af3b9db,남성, 180cm, 68kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],M,5,세일가로 잘 구매한것 같아요 편하게 입기  좋을듯,보통이에요,보통이에요,보통이에요,보통이에요
1414,LV 7 헌박,남성, 180cm, 75kg,릴렉스 핏 크루 넥 반팔 티셔츠 [크림],L,5,기본티로 입기 좋아요~!얇아서 비치는거 싫으신분들은 제외!,보통이에요,보통이에요,선명해요,얇아요
