,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
0,LV 4 안녕하시와,남성, 178cm, 65kg,에센셜 후드 스웻 셔츠 (BLACK),S,5,아 앰으로 살 껄… 기장이 상당히 짧아유 ㅋㅋ 시보리 안 접어두 상상 이상으로 짧아용 그래서 오히려 예뿌기도합니다,보통이에요,보통이에요,보통이에요,보통이에요
1,LV 4 신대일짱,남성, 170cm, 77kg,에센셜 후드 스웻 셔츠 (CHARCOAL),L,5,가격대비 우수하네요 가성비로 좋아요 다들 사세요,보통이에요,보통이에요,보통이에요,보통이에요
2,LV 3 포ㅠ,남성, 175cm, 55kg,에센셜 후드 스웻 셔츠 (BLACK),M,5,잘못 세탁해서 옷이 작아지긴 했는데 편하게 입기 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
3,LV 5 뉴비_22694a36,여성, 158cm, 48kg,에센셜 후드 스웻 셔츠 (MELANGE GREY),S,5,조금 얇긴하지만 껴입으면 괜찮아요. 잘입고있습니다.,보통이에요,보통이에요,보통이에요,보통이에요
4,LV 4 nollm,남성, 172cm, 62kg,에센셜 후드 스웻 셔츠 (MELANGE GREY),M,4,사이즈 적당히 세미오버핏인거같아요 탄탄하고 오래 잘 입을 것 같네요,보통이에요,보통이에요,보통이에요,보통이에요
5,LV 4 일단 지르고 봐,남성, 169cm, 73kg,에센셜 후드 스웻 셔츠 (BLACK),M,5,가격대비 만족스러움 딱 기본적인 후드티 시보리도탄탄하고 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
6,LV 3 ㄱr은이ㄷr,여성, 162cm, 62kg,에센셜 후드 스웻 셔츠 (MELANGE GREY),M,5,이뻐요 좀 큰데 오버핏이에여 진짜 마음에 들어서 하나 더 살 거임,커요,보통이에요,보통이에요,보통이에요
7,LV 3 shinyoung007,여성, 159cm, 53kg,에센셜 후드 스웻 셔츠 (MELANGE GREY),S,5,오버핏이라서 널널하고 여성분들은 s추천이요😊 핏이 예쁘게 나왔어요~,커요,보통이에요,보통이에요,보통이에요
8,LV 3 kim용,남성, 178cm, 85kg,에센셜 후드 스웻 셔츠 (CHARCOAL),L,5,무난한 후드티로 잘 입고 다닐거 같습니다 사이즈도 무난하고 잘 맞습니다,보통이에요,보통이에요,보통이에요,보통이에요
9,LV 2 뉴비_dada3eb3c5e5,남성, 183cm, 78kg,에센셜 후드 스웻 셔츠 (BLACK),XL,5,디자인이 예쁘고 심플합니다. 옷재질도 부드럽고 입을 때 편하게 입을 수 있습니다.,보통이에요,보통이에요,선명해요,보통이에요
10,LV 3 AAA+,남성, 174cm, 53kg,에센셜 후드 스웻 셔츠 (BLACK),S,5,역시 믿고 사는 토피s 작을 줄 알았는데 사이즈가 아주 잘 맞네요,보통이에요,어두워요,선명해요,보통이에요
11,LV 4 김쩡돌,남성, 183cm, 73kg,에센셜 후드 스웻 셔츠 (BLACK),L,5,깔끔하고 핏도 되게 괜찮아요. 기본템으로 딱맞습니다.,보통이에요,보통이에요,보통이에요,보통이에요
12,LV 5 잉투기,남성, 173cm, 62kg,에센셜 후드 스웻 셔츠 (MELANGE GREY),L,5,오버핏으로 막 입기 좋아요20대들이 좋아할 핏이에요,보통이에요,보통이에요,보통이에요,보통이에요
13,LV 3 뉴비_731c0f74,남성, 171cm, 49kg,에센셜 후드 스웻 셔츠 (MELANGE GREY),S,5,색이 엄청 잘 빠진거 같고 사이즈도 딱맞아서 입기좋아요,보통이에요,보통이에요,선명해요,보통이에요
14,LV 4 별뽀빠이,남성, 171cm, 66kg,에센셜 후드 스웻 셔츠 (BLACK),S,5,매일 편하게 입을 수 있어요 저는 오버핏을 안좋아해서 사이즈 한치수 작게 갔습니다,보통이에요,보통이에요,보통이에요,보통이에요
15,LV 4 멤버_88effe7204c9,남성, 174cm, 70kg,에센셜 후드 스웻 셔츠 (CHARCOAL),M,5,편하게 막 입기 좋아요 원단도 부드럽고 좋은거같아요,보통이에요,보통이에요,보통이에요,보통이에요
16,LV 4 뉴비_4c13d484,남성, 178cm, 64kg,에센셜 후드 스웻 셔츠 (MELANGE GREY),L,5,색감도 좋고 아무때나 입기 좋아서 많이 입고 다닐거 같아요,보통이에요,밝아요,선명해요,보통이에요
17,LV 5 2023국세청,남성, 185cm, 82kg,에센셜 후드 스웻 셔츠 (BLACK),XL,5,사이즈 딱 맞고 색깔도 너무 이뻐요 다른 색도 구매하고 싶어요,보통이에요,보통이에요,보통이에요,보통이에요
18,LV 5 sflr,남성, 168cm, 59kg,에센셜 후드 스웻 셔츠 (BLACK),S,5,가격도 착하고 핏도 원하는 핏이에요! 아래 시보리 타이트하지 않고 길이도 적당해요,보통이에요,보통이에요,보통이에요,보통이에요
