,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
0,LV 3 뉴비_35ae3b1bf257,여성, 158cm, 51kg,SIGN LOGO HOOD BLACK,S,5,학교에 입고 다닌다고 체육복위에 입어보네요.   청바지.슬랙스에도 다 잘어울릴것같아요,보통이에요,보통이에요,선명해요,보통이에요
1,LV 4 뉴비_fd68ab13,남성, 174cm, 63kg,SIGN LOGO HOOD BLACK,M,5,사이주 딱 맞고 생각했던대로 말끔하니 좋아요오,보통이에요,보통이에요,보통이에요,보통이에요
2,LV 2 뉴비_0901f5cfe235,남성, 181cm, 76kg,SIGN LOGO HOOD BLACK,XL,5,좋아요 배송 빨랐어요!  옷 퀄리티도 너무 좋아요!  남자친구가 너무 좋아해요,보통이에요,보통이에요,보통이에요,보통이에요
3,LV 3 뉴비_2226c1bb5d15,여성, 165cm, 58kg,SIGN LOGO HOOD GRAY,L,5,감촉도 좋고 편안합니다.. 스타일도 예뻐요.후드티~강추합니다~,보통이에요,밝아요,선명해요,보통이에요
4,LV 4 뉴비_685d5dc6,여성, 170cm, 65kg,SIGN LOGO HOOD GRAY,L,5,넉넉하고 엉덩이 덮는 딱좋은 길이감에 넘 두껍지 않아서 레어어드하기 딱이예요.,보통이에요,보통이에요,보통이에요,보통이에요
5,LV 3 폼물지괴미쳤다,남성, 171cm, 60kg,SIGN LOGO HOOD GRAY,L,5,생각보다 크게 나왔다길래 걱정했는데 그냥 딱 적당하다 싶었어요 두께도 적당하니 여름 빼고는 다 입을 수 있을 것 같네요,보통이에요,보통이에요,보통이에요,보통이에요
6,LV 3 슈슉030,여성, 165cm, 54kg,SIGN LOGO HOOD BLACK,L,5,이거 짱 예쁜데..단점은…이거 입고 나가면 밖에서 이거 입은 사람 6~7명은 보는 듯..!̆̎ 그거 말고는 짱 예쁘고 원단도 완전 짱짱해서 오래 입을 듯!̆̎ 아직 와릿이즌으로 바뀌기 전 로고라 약간의 마크 곤잘레스의 추억을 느낄 수 있다는 뭐 그런..,보통이에요,보통이에요,보통이에요,보통이에요
7,LV 2 뉴비 임다,남성, 181cm, 71kg,SIGN LOGO HOOD NAVY,XL,5,색감이 이쁘고 내 맘에 쏙 든다. 옷을 거를때 선이ㅡ많이 갈거같다,보통이에요,보통이에요,선명해요,보통이에요
8,LV 3 뉴비_591e95fbb088,남성, 180cm, 83kg,SIGN LOGO HOOD GRAY,L,4,너무 많이 입는다는 단점 빼고는 완벽한 후드에요,보통이에요,보통이에요,보통이에요,보통이에요
9,LV 4 뭣이중헌디22,남성, 175cm, 75kg,SIGN LOGO HOOD GRAY,L,5,제가 생각했던 핏이라 너무 만족 스럽습니다 여유 폭이 있어 약간 루즈하면서 핏은 살아있네요,보통이에요,보통이에요,보통이에요,두꺼워요
10,LV 3 뉴비_8a75a53e,여성, 163cm, 56kg,SIGN LOGO HOOD BLACK,L,5,동생 선물해줬는데 맘에드러 합니다 !저도 덩달아 뿌듯해요,보통이에요,보통이에요,보통이에요,보통이에요
11,LV 2 옷수수마쉬서여,여성, 157cm, 50kg,SIGN LOGO HOOD NAVY,L,5,후드티는 엉덩이 가리고 박시한 사이즈를 좋아해서 크게 구매 했는데 L사이즈로 구매하길 잘한거 같아융!!,보통이에요,어두워요,선명해요,두꺼워요
12,LV 3 뉴비_ed8385f6dbf0,여성, 168cm, 55kg,SIGN LOGO HOOD GRAY,M,5,편하게 입기 너무 좋고아무옷이나 받쳐입기도 좋아요예쁩니다,보통이에요,보통이에요,보통이에요,보통이에요
13,LV 3 뉴비_adedd803256a,남성, 176cm, 75kg,SIGN LOGO HOOD BLACK,L,5,오자마자 입구 사진찍어보니 제가 원하던 오버핏과 색감 잘입을게요,커요,보통이에요,선명해요,두꺼워요
14,LV 3 Enoylno,남성, 185cm, 73kg,SIGN LOGO HOOD BLACK,XL,5,역시 명불허전 와릿이즌인가. 너무 이쁘고 기장도 적당함.  후드티 1티어,보통이에요,보통이에요,보통이에요,보통이에요
15,LV 2 km_jae17,남성, 170cm, 50kg,SIGN LOGO HOOD GRAY,L,4,입고 나서 팔은 괜찮은데 몸 기장이 좀 길어요 그래도 가을에는 혼자 입어도 따뜻하고 겨울에는 살짝 얇은 아웃터 입으면 따뜻할듯용,커요,보통이에요,보통이에요,보통이에요
16,LV 3 뉴비_5b4f6456e411,남성, 174cm, 53kg,SIGN LOGO HOOD BLACK,L,5,디자인도 괜찮은거같고 사이즈도 저한테 잘 맞는거같아요,보통이에요,보통이에요,보통이에요,보통이에요
17,LV 3 뉴비_73f158480a5a,남성, 170cm, 70kg,SIGN LOGO HOOD BLACK,L,5,옷 두께도 적당하고 가격도 적당하니 무난무난하게 입을만합니다,보통이에요,보통이에요,보통이에요,보통이에요
18,LV 3 민덩덩82,남성, 177cm, 72kg,SIGN LOGO HOOD BLACK,L,5,사진에 보는 그대로 보통 크기의 후드이예요 아무 옷에나 입기 좋은거 같아요,보통이에요,어두워요,선명해요,보통이에요
19,LV 3 levy07,여성, 168cm, 60kg,SIGN LOGO HOOD BLACK,M,5,데일리로 넘 좋은 후드티..기모가 없는게 아쉽지만 넘 예쁘니 참겠읍니다,보통이에요,보통이에요,보통이에요,보통이에요
20,LV 3 뉴비_8a75a53e,여성, 163cm, 56kg,SIGN LOGO HOOD BLACK,L,5,동생 선물해줬는데 맘에드러 합니다 !저도 덩달아 뿌듯해요,보통이에요,보통이에요,보통이에요,보통이에요
21,LV 2 옷수수마쉬서여,여성, 157cm, 50kg,SIGN LOGO HOOD NAVY,L,5,후드티는 엉덩이 가리고 박시한 사이즈를 좋아해서 크게 구매 했는데 L사이즈로 구매하길 잘한거 같아융!!,보통이에요,어두워요,선명해요,두꺼워요
22,LV 3 뉴비_ed8385f6dbf0,여성, 168cm, 55kg,SIGN LOGO HOOD GRAY,M,5,편하게 입기 너무 좋고아무옷이나 받쳐입기도 좋아요예쁩니다,보통이에요,보통이에요,보통이에요,보통이에요
23,LV 3 뉴비_adedd803256a,남성, 176cm, 75kg,SIGN LOGO HOOD BLACK,L,5,오자마자 입구 사진찍어보니 제가 원하던 오버핏과 색감 잘입을게요,커요,보통이에요,선명해요,두꺼워요
24,LV 3 Enoylno,남성, 185cm, 73kg,SIGN LOGO HOOD BLACK,XL,5,역시 명불허전 와릿이즌인가. 너무 이쁘고 기장도 적당함.  후드티 1티어,보통이에요,보통이에요,보통이에요,보통이에요
25,LV 2 km_jae17,남성, 170cm, 50kg,SIGN LOGO HOOD GRAY,L,4,입고 나서 팔은 괜찮은데 몸 기장이 좀 길어요 그래도 가을에는 혼자 입어도 따뜻하고 겨울에는 살짝 얇은 아웃터 입으면 따뜻할듯용,커요,보통이에요,보통이에요,보통이에요
26,LV 3 뉴비_5b4f6456e411,남성, 174cm, 53kg,SIGN LOGO HOOD BLACK,L,5,디자인도 괜찮은거같고 사이즈도 저한테 잘 맞는거같아요,보통이에요,보통이에요,보통이에요,보통이에요
27,LV 3 뉴비_73f158480a5a,남성, 170cm, 70kg,SIGN LOGO HOOD BLACK,L,5,옷 두께도 적당하고 가격도 적당하니 무난무난하게 입을만합니다,보통이에요,보통이에요,보통이에요,보통이에요
28,LV 3 민덩덩82,남성, 177cm, 72kg,SIGN LOGO HOOD BLACK,L,5,사진에 보는 그대로 보통 크기의 후드이예요 아무 옷에나 입기 좋은거 같아요,보통이에요,어두워요,선명해요,보통이에요
29,LV 3 levy07,여성, 168cm, 60kg,SIGN LOGO HOOD BLACK,M,5,데일리로 넘 좋은 후드티..기모가 없는게 아쉽지만 넘 예쁘니 참겠읍니다,보통이에요,보통이에요,보통이에요,보통이에요
30,LV 3 뉴비_8a75a53e,여성, 163cm, 56kg,SIGN LOGO HOOD BLACK,L,5,동생 선물해줬는데 맘에드러 합니다 !저도 덩달아 뿌듯해요,보통이에요,보통이에요,보통이에요,보통이에요
31,LV 2 옷수수마쉬서여,여성, 157cm, 50kg,SIGN LOGO HOOD NAVY,L,5,후드티는 엉덩이 가리고 박시한 사이즈를 좋아해서 크게 구매 했는데 L사이즈로 구매하길 잘한거 같아융!!,보통이에요,어두워요,선명해요,두꺼워요
32,LV 3 뉴비_ed8385f6dbf0,여성, 168cm, 55kg,SIGN LOGO HOOD GRAY,M,5,편하게 입기 너무 좋고아무옷이나 받쳐입기도 좋아요예쁩니다,보통이에요,보통이에요,보통이에요,보통이에요
33,LV 3 뉴비_adedd803256a,남성, 176cm, 75kg,SIGN LOGO HOOD BLACK,L,5,오자마자 입구 사진찍어보니 제가 원하던 오버핏과 색감 잘입을게요,커요,보통이에요,선명해요,두꺼워요
34,LV 3 Enoylno,남성, 185cm, 73kg,SIGN LOGO HOOD BLACK,XL,5,역시 명불허전 와릿이즌인가. 너무 이쁘고 기장도 적당함.  후드티 1티어,보통이에요,보통이에요,보통이에요,보통이에요
35,LV 2 km_jae17,남성, 170cm, 50kg,SIGN LOGO HOOD GRAY,L,4,입고 나서 팔은 괜찮은데 몸 기장이 좀 길어요 그래도 가을에는 혼자 입어도 따뜻하고 겨울에는 살짝 얇은 아웃터 입으면 따뜻할듯용,커요,보통이에요,보통이에요,보통이에요
36,LV 3 뉴비_5b4f6456e411,남성, 174cm, 53kg,SIGN LOGO HOOD BLACK,L,5,디자인도 괜찮은거같고 사이즈도 저한테 잘 맞는거같아요,보통이에요,보통이에요,보통이에요,보통이에요
37,LV 3 뉴비_73f158480a5a,남성, 170cm, 70kg,SIGN LOGO HOOD BLACK,L,5,옷 두께도 적당하고 가격도 적당하니 무난무난하게 입을만합니다,보통이에요,보통이에요,보통이에요,보통이에요
38,LV 3 민덩덩82,남성, 177cm, 72kg,SIGN LOGO HOOD BLACK,L,5,사진에 보는 그대로 보통 크기의 후드이예요 아무 옷에나 입기 좋은거 같아요,보통이에요,어두워요,선명해요,보통이에요
39,LV 3 levy07,여성, 168cm, 60kg,SIGN LOGO HOOD BLACK,M,5,데일리로 넘 좋은 후드티..기모가 없는게 아쉽지만 넘 예쁘니 참겠읍니다,보통이에요,보통이에요,보통이에요,보통이에요
40,LV 3 뉴비_8a75a53e,여성, 163cm, 56kg,SIGN LOGO HOOD BLACK,L,5,동생 선물해줬는데 맘에드러 합니다 !저도 덩달아 뿌듯해요,보통이에요,보통이에요,보통이에요,보통이에요
41,LV 2 옷수수마쉬서여,여성, 157cm, 50kg,SIGN LOGO HOOD NAVY,L,5,후드티는 엉덩이 가리고 박시한 사이즈를 좋아해서 크게 구매 했는데 L사이즈로 구매하길 잘한거 같아융!!,보통이에요,어두워요,선명해요,두꺼워요
42,LV 3 뉴비_ed8385f6dbf0,여성, 168cm, 55kg,SIGN LOGO HOOD GRAY,M,5,편하게 입기 너무 좋고아무옷이나 받쳐입기도 좋아요예쁩니다,보통이에요,보통이에요,보통이에요,보통이에요
43,LV 3 뉴비_adedd803256a,남성, 176cm, 75kg,SIGN LOGO HOOD BLACK,L,5,오자마자 입구 사진찍어보니 제가 원하던 오버핏과 색감 잘입을게요,커요,보통이에요,선명해요,두꺼워요
44,LV 3 Enoylno,남성, 185cm, 73kg,SIGN LOGO HOOD BLACK,XL,5,역시 명불허전 와릿이즌인가. 너무 이쁘고 기장도 적당함.  후드티 1티어,보통이에요,보통이에요,보통이에요,보통이에요
45,LV 2 km_jae17,남성, 170cm, 50kg,SIGN LOGO HOOD GRAY,L,4,입고 나서 팔은 괜찮은데 몸 기장이 좀 길어요 그래도 가을에는 혼자 입어도 따뜻하고 겨울에는 살짝 얇은 아웃터 입으면 따뜻할듯용,커요,보통이에요,보통이에요,보통이에요
46,LV 3 뉴비_5b4f6456e411,남성, 174cm, 53kg,SIGN LOGO HOOD BLACK,L,5,디자인도 괜찮은거같고 사이즈도 저한테 잘 맞는거같아요,보통이에요,보통이에요,보통이에요,보통이에요
47,LV 3 뉴비_73f158480a5a,남성, 170cm, 70kg,SIGN LOGO HOOD BLACK,L,5,옷 두께도 적당하고 가격도 적당하니 무난무난하게 입을만합니다,보통이에요,보통이에요,보통이에요,보통이에요
48,LV 3 민덩덩82,남성, 177cm, 72kg,SIGN LOGO HOOD BLACK,L,5,사진에 보는 그대로 보통 크기의 후드이예요 아무 옷에나 입기 좋은거 같아요,보통이에요,어두워요,선명해요,보통이에요
49,LV 3 levy07,여성, 168cm, 60kg,SIGN LOGO HOOD BLACK,M,5,데일리로 넘 좋은 후드티..기모가 없는게 아쉽지만 넘 예쁘니 참겠읍니다,보통이에요,보통이에요,보통이에요,보통이에요
50,LV 3 enok0106,남성, 163cm, 44kg,SIGN LOGO HOOD GRAY,S,5,제가 생각했던 것보다 옷이 엄청 크긴했는데 입어보니 또 괜찮네요.,커요,밝아요,선명해요,두꺼워요
51,LV 3 뉴비_0f09d2df93bc,남성, 172cm, 50kg,SIGN LOGO HOOD GRAY,S,5,아주 이쁜 오버핏에 후드티 색갈도 맘에 들고 두께도 딱 좋아요!,커요,보통이에요,보통이에요,보통이에요
52,LV 5 실버_76c2eaf57d78,남성, 170cm, 70kg,SIGN LOGO HOOD IVORY,M,5,생각보다 아이보리보단 화이트에 가까운 느낌으류 찍히긴 했는데 조명 때문에 그렇구요 핏도 딱이고 예뻐요,보통이에요,밝아요,보통이에요,보통이에요
53,LV 3 이영탁123,남성, 177cm, 70kg,SIGN LOGO HOOD GRAY,L,5,오버핏이 적당해서 만족스러워여 추천드립니다,보통이에요,보통이에요,보통이에요,보통이에요
54,LV 4 뿡순잉,여성, 174cm, 69kg,SIGN LOGO HOOD GRAY,L,5,기엽고 할인할 때 잘 샀어용 가성비 갑!! 근데 이거 입는 사람 자주 마주침 그것만 단점,보통이에요,보통이에요,보통이에요,보통이에요
55,LV 3 _januaryechan.3,남성, 180cm, 60kg,SIGN LOGO HOOD BLACK,M,5,무난한 검정색 후드티라 어떤 바지랑 입어도 잘어울려요!!,작아요,보통이에요,보통이에요,보통이에요
56,LV 3 해팔입니다,여성, 165cm, 54kg,SIGN LOGO HOOD BLACK,L,5,말모? 이쁩니다 그래서 이미 국민템인듯 학교에 입고 가면 그날 두명은 나랑 커플룩임🤍🤤 ,보통이에요,보통이에요,보통이에요,보통이에요
57,LV 3 제휘이파람,여성, 157cm, 53kg,SIGN LOGO HOOD NAVY,M,5,저랑 스펙 비슷하신데 살짝 오버핏으로 입고싶으시면 M추천드리구 맞게 입으시고 싶으시면 S추천드려용,보통이에요,보통이에요,선명해요,보통이에요
58,LV 3 뉴비_773dfa0abffb,남성, 175cm, 60kg,SIGN LOGO HOOD GRAY,L,5,예쁘고편하고좋아요여유핏이라더 예쁜거 같아요,보통이에요,밝아요,선명해요,보통이에요
59,LV 3 밥말아먹자,남성, 176cm, 59kg,SIGN LOGO HOOD GRAY,M,5,옷이 예뻐요 근데 정말 많이 흔해요. 같은 옷 입은 사람이 자주 보여요.,보통이에요,보통이에요,보통이에요,보통이에요
60,LV 4 쌔내기,남성, 177cm, 51kg,SIGN LOGO HOOD GRAY,M,5,동생이 샀는데 아마도 잘 입고있는것 같아요 이뻐용,보통이에요,보통이에요,보통이에요,보통이에요
61,LV 4 plecap,남성, 179cm, 75kg,SIGN LOGO HOOD GRAY,XL,5,진짜 너무 이쁘고 다시 재구매 하고 싶을정도로 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
62,LV 3 뉴비_4b2f93a60c55,남성, 165cm, 54kg,SIGN LOGO HOOD GRAY,M,5,아들이 좋아해요부들부들하고 두께감이 좋아요무신사에서 가성비 제대로~^^,보통이에요,보통이에요,보통이에요,보통이에요
63,LV 3 JSMJL,여성, 163cm, 63kg,SIGN LOGO HOOD GRAY,XL,5,디자인이 심플하면서 이뻐서 왠만한 옷들이랑 매치가 잘돼요,커요,보통이에요,보통이에요,보통이에요
64,LV 3 K1MJ1NUN,남성, 171cm, 65kg,SIGN LOGO HOOD GRAY,L,4,L를 샀는데 생각보다 커서 놀랐고 편하게 입고 다니기에 좋아요,커요,보통이에요,보통이에요,보통이에요
65,LV 3 최강디0125,남성, 170cm, 75kg,SIGN LOGO HOOD GRAY,L,5,엄청 두꺼운 제품은 아니고 그렇다고 적당히 얇지도 않으며 사이즈는 정직합니다. 기본 후드티로 입기 좋은 제품이네요. 좋은 제품 감사히 잘 입겠습니다,보통이에요,밝아요,선명해요,보통이에요
66,LV 3 뉴비_eabc9dbd,여성, 164cm, 52kg,SIGN LOGO HOOD BLACK,S,5,심플한로고디자인에 재질이 나쁘지않아 가성비가 좋은것같습니다 올겨울잘입고 다닐것같아요,보통이에요,보통이에요,보통이에요,보통이에요
67,LV 5 브론즈_19ae7d58aa2,남성, 187cm, 70kg,SIGN LOGO HOOD GRAY,XL,5,아주 만족합니다 저렴하게 구매해서 평소에 출근할때 입기 젛은거 같아요,보통이에요,보통이에요,보통이에요,보통이에요
68,LV 2 뉴비_a88386e9575a,남성, 177cm, 57kg,SIGN LOGO HOOD GRAY,L,4,가성비는 좋고 오버로 떨어지는데 사이즈미스로 좀큰거빼곤 무난하네요,커요,보통이에요,보통이에요,보통이에요
69,LV 3 뉴비_bdf263e7ac14,남성, 168cm, 55kg,SIGN LOGO HOOD BLACK,L,5,깔끔하고 오래 입을 수 있어보여요 가볍게 데잉리로 입기에 정말 좋아보이고 마감이 깨끗해서 좋네요,커요,보통이에요,선명해요,보통이에요
70,LV 2 뉴비_910d8c9a,남성, 177cm, 72kg,SIGN LOGO HOOD BLACK,L,5,후드티 옷이 심플하고 편해요 정말 좋아요 굳 강추해요,보통이에요,보통이에요,보통이에요,보통이에요
71,LV 3 눈이좋은사슴은굿아이디어,남성, 177cm, 67kg,SIGN LOGO HOOD BLACK,L,5,무난하면서 앞에 레터링이 포인트가 돼요 무게는 꽤 묵직해서 하루 입어보니 덥네요 작은 레터링으로 사려했는데 실수로 큰 레터링을 사버렸는데 이거는 호불호에 따라 갈릴 것 같아요 가성비는 좋아요,보통이에요,어두워요,선명해요,보통이에요
72,LV 2 구구구궈,남성, 168cm, 56kg,SIGN LOGO HOOD GRAY,M,5,무난하게 입기 좋음. 개인적으로 어떻게 입어도 이쁜듯.,보통이에요,보통이에요,선명해요,보통이에요
73,LV 3 뉴비_a84ed679,남성, 173cm, 65kg,SIGN LOGO HOOD NAVY,L,5,디자인과 색상이 무난해서 마음에들고 옷받쳐입기 편해요. 학생들이 입기좋아요.,보통이에요,보통이에요,선명해요,보통이에요
