user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval,cm,총장,어깨너비,가슴단면,소매길이
LV 5 남7,남성, 170cm, 63kg,950g solid hoody-racing green-,M,5.0,제품 생각 보다 너무 좋고 마음에 들었어요. 사이즈도 오버핏이라 이뻐요! ,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 3 corton,남성, 178cm, 76kg,950g solid hoody-deep black-,L,5.0, 소버먼트 처음 구매해봤는데 역시 명성이 자자한 이유가 있었네요. 탄탄하고 퀄리티 좋아요. 생각보다 사이즈가 낙낙하지만 마음에 들어요. ,보통이에요,어두워요,선명해요,보통이에요,L,72,64,64,59
LV 5 J하람,남성, 168cm, 63kg,950g solid hoody-racing green-,M,5.0,원하던 핏에 원단도 두툼해서 한겨울에도 입을 수 있을거 같아요,보통이에요,밝아요,선명해요,보통이에요,M,70,62.5,62,58
LV 3 루키_2cac827672e1,남성, 170cm, 67kg,950g solid hoody-deep black-,M,5.0,후드티 오버핏이고 너무 따뜻하고 겨울에 입기 좋아요.,보통이에요,보통이에요,보통이에요,두꺼워요,M,70,62.5,62,58
LV 4 Cops_p,남성, 177cm, 72kg,950g solid hoody-8%gray-,L,5.0,이뻐요 이너로 입기 딱이네요 ㅎㅎ178 68 기준 L딱 좋아요!,보통이에요,보통이에요,보통이에요,두꺼워요,L,72,64,64,59
LV 5 올리브통조림,남성, 179cm, 84kg,950g solid hoody-racing green-,XL,5.0,색이 선명한 초록 빛이라 흔하지도 않고 오버핏이라 편해요,커요,밝아요,선명해요,보통이에요,XL,74,65.5,66,60
LV 5 호야늬,남성, 180cm, 65kg,950g solid hoody-racing green-,L,5.0,스타일 아주 좋구요 핏감이 너무 이쁘네요!! 초록색도 진짜 이쁜 초록색입니다,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 5 종man,남성, 180cm, 100kg,950g solid hoody-racing green-,XL,5.0,아주 좋아요 두껍고 각고 잘잡히고 배송만 빠르면 좋겠어요,보통이에요,밝아요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 4 꾸꾸까까꾸까끄꾸,남성, 166cm, 68kg,950g solid hoody-racing green-,M,5.0,생각보다 엄청 무거운데색상이 진해서 엄청 이쁩니다.,보통이에요,보통이에요,보통이에요,두꺼워요,M,70,62.5,62,58
LV 6 4747,남성, 168cm, 66kg,950g solid hoody-deep black-,S,5.0,옷감이 탄탄하고 후드각이 이뻐서 너무 좋습니다,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 6 엘가컴퍼니,남성, 174cm, 70kg,950g solid hoody-racing green-,L,5.0,재질이 너무 좋아요 잘늘어나는 재질도 아니고 묵직하니 핏도 잘나오고 대만족입니다,보통이에요,밝아요,선명해요,두꺼워요,L,72,64,64,59
LV 6 녹쑤,남성, 181cm, 74kg,950g solid hoody-deep black-,XL,5.0,2개째인데 두툼해서 각이 잘잡힙니다보통 후드는 오버하게 입어서 1업해서 잘 입고 있네요,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 6 BallJ,남성, 169cm, 60kg,950g solid hoody-racing green-,S,5.0,이미 검증된 후드!!최곱니다 제 스펙이신 분들은 한 사이즈 업도 이쁠 것 같아요,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 3 kan72502,남성, 163cm, 58kg,950g solid hoody -aura navy-,M,5.0,겉과 안 모두 좋은 좋고  부드럽고 맛있으며 원하는대로 핏감과 색깔도 동일하니 나오네요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 5 깡퍠,남성, 170cm, 80kg,950g solid hoody-deep black-,L,5.0,무게감 있고 튼튼한 느낌 기모 없어서 더 좋아요평소 105 세미오버 느낌으로 입으려고 한사이즈 다운했습니다 ,보통이에요,어두워요,선명해요,보통이에요,L,72,64,64,59
LV 3 조맛,남성, 184cm, 82kg,950g solid hoody-racing green-,XL,5.0,제가 딱 원한 컬러여서 마음에 듭니다두툼해서 겨울에 입기 좋을꺼 같습니다.,보통이에요,밝아요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 5 하체트,남성, 173cm, 65kg,950g solid hoody-3% gray-,S,5.0,가격은 저렴하고 퀄리티는 좋습니다다음에도 살거같은 후드입니다,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 4 JMF,남성, 180cm, 76kg,950g solid hoody-3% gray-,L,5.0,"탄탄한 원단감은 정말 만족하고, 폼이랑 후드 모자 각이 너무 예쁩니다. 길이가 조금 긴 감이 없지 않아 살짝 아쉽습니다.",커요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 8 캔디카,남성, 173cm, 73kg,950g solid hoody-racing green-,L,5.0,생각했던것보다 초록색이 이뻐요사진보다 실물이 더 괜찮아요,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 5 우기명이다,남성, 175cm, 76kg,950g solid hoody-deep black-,L,5.0,ㄹㅇ 딱입니다. 다른 색깔도 사고 싶은데 블프때 돈을 써서 모이면 살 예정입니다.,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 5 upseo,남성, 177cm, 74kg,950g solid hoody-racing green-,M,4.0,옷 자체가 오버핏 느낌이라 저는 정사이즈가 좋아서 한사이즈 다운해서 샀어요 맘에들고 좋습니다. 다만 색이 조금 어두워서 아쉬워요ㅠㅠ ,보통이에요,어두워요,선명해요,보통이에요,M,70,62.5,62,58
LV 3 뉴비_e8f2a6645b60,남성, 171cm, 60kg,950g solid hoody-racing green-,M,5.0,"사이즈도 적당하고 색감, 원단, 핏, 전체적으로 다 괜찮아요.",보통이에요,보통이에요,선명해요,두꺼워요,M,70,62.5,62,58
LV 6 1525348,남성, 182cm, 83kg,950g solid hoody-8%gray-,XL,5.0,사진 그대로고 너무 편해서 자주 입고 다녀요 최고 추천,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 4 Lara402,남성, 187cm, 75kg,950g solid hoody-maroon red-,XL,4.0,후드각이 잡혀 있어서 좋았고 원단도 탄탄하게만들었어요 하나 더 사고 싶어요,보통이에요,보통이에요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 6 푸딩장,남성, 180cm, 70kg,950g solid hoody-racing green-,L,5.0,너무 이뻐요 색감도 좋고 핏도 좋네요 잘 입을게요,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 6 어잉?,남성, 167cm, 67kg,950g solid hoody-8%gray-,M,5.0,입으면 촥~ 핏이 이뻐요 무게감 살짝있고 모자는 좀 큰 편입니다재질좋아요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 4 뉴비_89d712583c55,남성, 184cm, 70kg,950g solid hoody-deep black-,XL,5.0,소재 좋고 핏 좋아요 옷이 많이 묵직하지만 어깨 쳐져보이는건 없어서 좋네요 :) 무지 후드티는 로버먼트 강추합니다~,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 7 쫑이집사,남성, 173cm, 70kg,950g solid hoody-racing green-,M,5.0,끈빼는게 더 이뻐보이네요 사이즈도 적당하게 오버해서 어디에 매치해도 이뻐요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 3 군침싹도네,남성, 178cm, 70kg,950g solid hoody-deep black-,M,5.0,두께가 딱 적당하고 좋습니다. 따뜻하고 너무 좋아요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 6 베인123,남성, 173cm, 58kg,950g solid hoody-deep black-,M,5.0,50번 넘게 입은거 같아요 세탁해도 변형없고 편한하게 입기정말 좋습니다ㅎㅎ,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 5 키리히,남성, 167cm, 54kg,950g solid hoody-deep black-,S,5.0,끈이 흰색이라 포인트가 되는 것 같아요 ㅎㅎ색도 진하고 핏도 잘 나왔네요!,보통이에요,밝아요,선명해요,보통이에요,S,68,61,60,57
LV 4 호두왘킹,남성, 173cm, 73kg,950g solid hoody-deep black-,M,5.0,블랙후드는 진리입니다! 이번에도 잠옷패션으로 찍찍 잘입겠습니다,보통이에요,어두워요,선명해요,두꺼워요,M,70,62.5,62,58
LV 5 육근팔,남성, 184cm, 78kg,950g solid hoody-deep black-,XL,5.0,좋아요 두꺼움도 좋고 예뻐요 많이 파세요 화이팅 굿귯,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 5 lch1748,남성, 178cm, 65kg,950g solid hoody-deep black-,XL,4.0,옷이 정말 예뻐요 퀄리티가 짱입니다 재구매 의사 있어요,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 4 숔웨이,남성, 172cm, 63kg,950g solid hoody-deep black-,M,5.0,소버먼트   역시 짱짱하고 스타일이 잘살아요다른 색깔도 살 예정입니다,보통이에요,보통이에요,선명해요,두꺼워요,M,70,62.5,62,58
LV 5 영재떨이,남성, 173cm, 70kg,950g solid hoody-deep black-,L,5.0,너뮤너무 예쁜 제품이에요 데일리하게 계속 손이 가서 사용합니다!!,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 4 미스터2,남성, 181cm, 83kg,950g solid hoody-deep black-,XL,5.0,소버먼트 가격대비 제품 너무 좋아요 두툼해서 핏도 이쁘게 떨어지네요.요즘 자주 입고 있어요,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 6 서홍근,남성, 173cm, 80kg,950g solid hoody-deep black-,L,5.0,"재질, 색상 모두 마음에 드네요! 후드 조절 끈이 흰색이라 포인트로 더 예쁜것같아요.겨울에 코트, 패딩, 베스트 등 여러가지 껴입기도 좋고 덜 추울땐 후드만 입어도 좋을거같아요! ",보통이에요,보통이에요,선명해요,보통이에요,L,72,64,64,59
LV 6 수근수근수근이형,남성, 164cm, 60kg,950g solid hoody-8%gray-,M,5.0,짱짱하면서 밑단은 너무 빡빡하지않고 루즈하고 무지인게 너무 제취향입니다 참고로 후드끈은 너무길어서 뺐어요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 5 LIM0306,남성, 174cm, 55kg,950g solid hoody-deep black-,S,5.0,"너무 예뻐요. 무겁긴한데 추천합니다. 좋아요,만족",보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 5 키리히,남성, 167cm, 54kg,950g solid hoody-8%gray-,S,4.0,두께가 얇은 건 좀 아쉬운 부분이었지만 끈이 흰색이라 포인트가 되는 부분이 인상적이었고 재질하고 핏은 괜찮은 것 같아요!,보통이에요,밝아요,선명해요,보통이에요,S,68,61,60,57
LV 3 뉴비_13f78fca,남성, 174cm, 59kg,950g solid hoody-wheat beige-,M,5.0,모자도 이쁘게 핏이 되게끔 탄탄하고 온 전체적으로도 탄탄해요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 4 우탕탕탕탕,남성, 182cm, 90kg,950g solid hoody-deep black-,XL,5.0,소버먼트 진짜 최고입니다 기장도 딱맞고 품도 원하던 오버핏이라 대만족에 두께도 두꺼워서 겨울에 잘 입을것같아요,보통이에요,어두워요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 3 매력대마왕,남성, 174cm, 80kg,950g solid hoody-3% gray-,XL,5.0,믿고 사는 소버먼트 이번에도 구입합니다.근데 980으로 라이트그레이가 없는점 아쉽네요.980으로도 있었으면 합니다. ^^,보통이에요,보통이에요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 5 뿌루루빠,남성, 180cm, 67kg,950g solid hoody-racing green-,XL,4.0,핏감좋고 탄탄하고 하지만 사이즈 하나더큰거있음 젛겠어용,보통이에요,보통이에요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 6 파라니임,남성, 176cm, 74kg,950g solid hoody-8%gray-,M,3.0,확실히 두꺼워서 좋긴한데 빨래 하구 잘 안말라요..그래서 건조기 사용했는데 확 줄어 들어서 애매해진..,보통이에요,보통이에요,보통이에요,두꺼워요,M,70,62.5,62,58
LV 5 LIM0306,남성, 174cm, 55kg,950g solid hoody-8%gray-,S,5.0,무겁긴 한데 핏이 좋아요 굿굿 앞으로 계속 구매예정입니다,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 6 정ㅈㅈ,남성, 197cm, 100kg,950g solid hoody-racing green-,XL,5.0,색감도 좋고 두께도 좋고 전반적으로 다 만족스럽습니다,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 6 와이드핏어려워요,남성, 168cm, 63kg,950g solid hoody-deep black-,M,4.0,좋습니다. 가격대비 만족하고 무신사에서는 항상 할인받아서 좋아요.,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 6 돌체형님,남성, 171cm, 70kg,950g solid hoody-8%gray-,M,5.0,옷이 두툼하고 후드핏도 잘 잡혀서 이너로 입기 좋아요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 5 키리히,남성, 167cm, 54kg,950g solid hoody-8%gray-,S,5.0,두께가 얇은 건 좀 아쉬운 부분이었지만 끈이 흰색이라 포인트가 되는 부분이 인상적이었고 재질하고 핏은 괜찮은 것 같아요!,보통이에요,밝아요,선명해요,보통이에요,S,68,61,60,57
LV 3 매력대마왕,남성, 174cm, 80kg,950g solid hoody-3% gray-,XL,4.0,믿고 사는 소버먼트 이번에도 구입합니다.근데 980으로 라이트그레이가 없는점 아쉽네요.980으로도 있었으면 합니다. ^^,보통이에요,보통이에요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 5 뿌루루빠,남성, 180cm, 67kg,950g solid hoody-racing green-,XL,5.0,핏감좋고 탄탄하고 하지만 사이즈 하나더큰거있음 젛겠어용,보통이에요,보통이에요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 6 파라니임,남성, 176cm, 74kg,950g solid hoody-8%gray-,M,5.0,확실히 두꺼워서 좋긴한데 빨래 하구 잘 안말라요..그래서 건조기 사용했는데 확 줄어 들어서 애매해진..,보통이에요,보통이에요,보통이에요,두꺼워요,M,70,62.5,62,58
LV 6 와이드핏어려워요,남성, 168cm, 63kg,950g solid hoody-deep black-,M,5.0,좋습니다. 가격대비 만족하고 무신사에서는 항상 할인받아서 좋아요.,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 4 호두왘킹,남성, 173cm, 73kg,950g solid hoody-deep black-,L,5.0,믿고 구매하는 소버먼트 맨투맨만 구입했는데 이번에 후드도 구매해봤습니다역시나 탄탄하고 이쁘네요 넝마될때까지 입어보겠습니다 ,보통이에요,어두워요,선명해요,두꺼워요,L,72,64,64,59
LV 4 돌아온그리즈만,남성, 169cm, 74kg,950g solid hoody-wheat beige-,M,5.0,소버먼트 옷은 처음인데 옷도 두툼하고 색감도 예뻐요,보통이에요,보통이에요,보통이에요,두꺼워요,M,70,62.5,62,58
LV 5 2145215,남성, 185cm, 93kg,950g solid hoody-3% gray-,XL,5.0,생각보다 더 두꺼워서 평소에는 단품으로 입다가등산갈때 이너로 입었는데 더워죽을뻔 했음보온성 하나는 지림,커요,보통이에요,보통이에요,두꺼워요,XL,74,65.5,66,60
LV 4 yun001,여성, 160cm, 60kg,950g solid hoody-racing green-,M,5.0,탄탄하다 그래서 샀는데 탄탄해요 오래입을듷요 굿,보통이에요,밝아요,선명해요,보통이에요,M,70,62.5,62,58
LV 3 돈까스귀신,남성, 174cm, 63kg,950g solid hoody-racing green-,M,5.0,기모는 없지만 원단이 두툼해서 후드 각도 잘 잡히고 쨍한 그린이라 색감도 맘에 듭니다.,보통이에요,밝아요,선명해요,두꺼워요,M,70,62.5,62,58
LV 4 뉴비_54765075d876,남성, 167cm, 61kg,950g solid hoody-racing green-,S,5.0,두툼하고 색감찡하니 이쁩니다코트랑같이 입으면 좋아요,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 4 멤버_14eb39e5f9af,남성, 188cm, 75kg,950g solid hoody-deep black-,XL,5.0,전체적인 두께감이 좋아서 짱짱합니다. 휘뚜루마뚜루 잘 입을 수 있을 것 같네요.,보통이에요,어두워요,보통이에요,두꺼워요,XL,74,65.5,66,60
LV 5 Dudumchit,남성, 173cm, 79kg,950g solid hoody-deep black-,L,5.0,두꺼워서 체형보완도 되고 따뜻하고 질감이 좋아요 지금 입기 딱 좋아요,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 6 하마요,남성, 180cm, 70kg,950g solid hoody-deep black-,L,5.0,올해 쇼핑은 전부 성공적이네요 만족스럽습니다 만족스러워 다른색도 구매예정,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 3 여엉맨,남성, 170cm, 75kg,950g solid hoody-deep black-,L,5.0,재질이 너무 좋고 후드 각이 잘 잡혀 있어요가성비 최고입니다,커요,어두워요,선명해요,두꺼워요,L,72,64,64,59
LV 5 PCVE,남성, 179cm, 74kg,950g solid hoody-racing green-,L,5.0,쨍한 초록색 찾고 있었는데 잘 구했습니다 ㅎㅎ상담사 분께서 친절하게 응대해주셔서 배송 조금 늦었었지만 괜찮아요~ 끈은 뺀 게 더 마음에 들어서 빼놨습니당,보통이에요,밝아요,선명해요,보통이에요,L,72,64,64,59
LV 6 ㅇㅆ328,남성, 182cm, 84kg,950g solid hoody-cocoa-,XL,5.0,터치감 너무 좋고 탄탄해서 오래 입을 수 있을 것 같아요,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 5 브론즈_dd1808e257c,남성, 179cm, 64kg,950g solid hoody-deep black-,L,5.0,무난하게 이쁘고 깔끔해요 두께감도 있어서 따듯해요 무게감도 조금 있구요 편하게 입기좋아요,보통이에요,어두워요,보통이에요,두꺼워요,L,72,64,64,59
LV 6 ㅇㅆ328,남성, 182cm, 84kg,950g solid hoody -aura navy-,XL,5.0,터치감 너무 좋고 탄탄해서 오래 입을 수 있을 것 같아요,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 5 쿠쿠다스조아,남성, 175cm, 73kg,950g solid hoody-8%gray-,L,5.0,"딱좋아요 원단도 탄탄하니, 맨투맨만 사다가 후드도 사봤는데 만족합니다. 편하게 입기 좋을 것 같아요",커요,보통이에요,선명해요,두꺼워요,L,72,64,64,59
LV 5 민트맛프링글스,남성, 172cm, 60kg,950g solid hoody-8%gray-,M,5.0,탄탄하니 좋아용 두고두고 몇년은 입을 수 있을듯??,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 3 뉴비_60def990414a,남성, 178cm, 66kg,950g solid hoody-1% gray-,L,5.0,원하던 스타일입니다.길이도 적당하고 색감 좋아요.,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 4 뉴비_7163cd53,남성, 168cm, 65kg,950g solid hoody-deep black-,L,5.0,저랑 신체사이즈 비슷하신 분들은 오버핏 ~라지(L)사이즈 강추입니다 ㅎㅎ키 160후반~170초반몸무게 65이상~ 76미만 옷 품질 정말 좋습니다 여러번 세탁해도 쫀쫀하고 부드럽습니다 (아끼는 중)다른 색상들도 탐나서 고려중입니다 ㅎㅎ 재구매의사200%,보통이에요,어두워요,선명해요,보통이에요,L,72,64,64,59
LV 5 오싸조,남성, 173cm, 70kg,950g solid hoody-wheat beige-,L,5.0,후드끈이랑 비슷한색이라 밋밋할수있는데 포인트 코디만 잘해주면 이쁘게 잘입을거같아요 일단 핏은 너무이뻐요 ㅋㅋ,보통이에요,보통이에요,흐려요,두꺼워요,L,72,64,64,59
LV 5 오싸조,남성, 173cm, 70kg,950g solid hoody-deep black-,L,5.0,두꺼워서 핏이 살아나는 느낌이에요 후드 줄도 뭔가 포인트 되는느낌이고 이쁜옷 잘산느낌입니다,보통이에요,어두워요,선명해요,두꺼워요,L,72,64,64,59
LV 6 ㅇㅆ328,남성, 182cm, 84kg,950g solid hoody-maroon red-,XL,5.0,터치감 너무 좋고 사이즈도 적당히 오버하게 좋습니다,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 3 성륜$$,남성, 176cm, 73kg,950g solid hoody-deep black-,L,5.0,이뻐요. 특히 흰색 끈이 패션의 포인트! 꼭 사세요 강추드립니다.,보통이에요,어두워요,선명해요,보통이에요,L,72,64,64,59
LV 5 이응수수,남성, 171cm, 65kg,950g solid hoody-racing green-,S,5.0,넘나리 이쁘네요 다시 사야겠습니다 추천합니다.,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 5 뉴비_d6d05c95,남성, 178cm, 70kg,950g solid hoody-racing green-,M,5.0,무게감도 괜찮고 사이즈도 딱 좋고 색도 너무 예쁘고 따뜻해서 요즘 입기 좋네요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 5 김동그랑땡,남성, 169cm, 64kg,950g solid hoody-racing green-,M,5.0,색이 너무 예쁘고 밝아서 너무 좋아서 다른색도 구매해도 좋을것 같아요~~,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 4 패션테러인간,남성, 174cm, 70kg,950g solid hoody-3% gray-,M,5.0,노기모 제법 두툼하고 무겁습니다. 하지만상품이 고급지고 핏도 만족스럽고 마감 상태도 아주 좋습니다. 좋은 구매였습니다. ,커요,밝아요,선명해요,두꺼워요,M,70,62.5,62,58
LV 6 뉴비_141e4963,남성, 177cm, 63kg,950g solid hoody-8%gray-,M,5.0,세일해서 가성비로 잘 산것 같아욛ㅈ잘입을게요 감사,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 4 김밥천국 아들,남성, 173cm, 67kg,950g solid hoody-racing green-,L,5.0,옷 재질도 너무 좋고 핏도 너무 이뻐요 다른 색으로 또 살께요,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 3 멤버_a73c769ac27d,남성, 175cm, 62kg,950g solid hoody-deep black-,M,5.0,사이즈 딱 적당하고 스타일 좋아적당하사진과 동일해요,보통이에요,보통이에요,선명해요,보통이에요,M,70,62.5,62,58
LV 5 조항식,남성, 178cm, 55kg,950g solid hoody-racing green-,L,5.0,나름 괜찮아요 마른사람이 입기엔 좀 오버하지만 괜찮아요,커요,밝아요,선명해요,두꺼워요,L,72,64,64,59
LV 3 Whejidywi,남성, 169cm, 63kg,950g solid hoody -aura navy-,S,5.0,사이즈도 딱 맞게 오버핏으로 예쁘고 색감도 예쁩니다,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 3 Jhw26,남성, 187cm, 83kg,950g solid hoody-racing green-,XL,5.0,색깔 예쁘고 사이즈도 좋아요 추천 합니다!가성비가 아주 좋은 제품이네요,보통이에요,밝아요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 6 김인-,남성, 178cm, 77kg,950g solid hoody-deep black-,L,5.0,옷이 조금 무겁지만 완전 짱짱하고 오래입을수있을거같아요,보통이에요,어두워요,선명해요,보통이에요,L,72,64,64,59
LV 5 후드보단맨투맨,남성, 177cm, 60kg,950g solid hoody-maroon red-,S,5.0,색감이 정말 이뻐요 끈도 아이보리색이라 잘 어울리고요평소에 m을 입는데 s를 하니 시보리도 더 잘 접혀서 좋네요,보통이에요,보통이에요,보통이에요,두꺼워요,S,68,61,60,57
LV 4 예준입니당,남성, 183cm, 80kg,950g solid hoody-racing green-,XL,5.0,색감 너무 이쁘고 디자인도 마음에 들어요 한 사이즈 작게 사도 좋을 거 같아요,커요,밝아요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 5 만원만 깎아주세요,남성, 173cm, 75kg,950g solid hoody-deep black-,M,5.0,좋아요 잘산 거 같네요 좋아요 아주 좋습니다 아주 좋아요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 6 1525348,남성, 182cm, 83kg,950g solid hoody-deep black-,XL,5.0,사진 그대로고 너무 편해서 자주 입고 다녀요 최고 추천,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 6 친구얌,남성, 170cm, 63kg,950g solid hoody-deep black-,M,5.0,"맨투맨 구매후 만족해서 후드,맨투맨 추가로 더 구매해요!! 배송관련 약간 문제가 있어 고객센터 연락하니 잘 처리해주셨고 바로 다음날 수령받았어요 조만간 또 구매할거같아요",보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 4 딸기고사리,남성, 174cm, 65kg,950g solid hoody-racing green-,L,5.0,색깔이 쨍하고 이쁩니다 대만족스러워요 소버먼트 최고입니다,보통이에요,밝아요,선명해요,두꺼워요,L,72,64,64,59
LV 5 불꽃소방대,남성, 172cm, 70kg,950g solid hoody-8%gray-,M,5.0,남들이 오버핏 후드사길래 그중에 가격대 있는 후드로 사봤어요 ,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 3 79124,여성, 162cm, 66kg,[세트]베네핏 트레이닝 셋업-라이트 그레이,"L(후드)                                                                            , L(기모)",4.0,무난하게 잘 입을 것 같아요넉넉하게 입을 수있고바지는 날씬해보이네요 ㅎㅎ,커요,보통이에요,보통이에요,보통이에요,,,,,
LV 3 뉴비_41c9b8274a9e,남성, 183cm, 120kg,[세트]베네핏 트레이닝 셋업-라이트 그레이,"XL(후드)                                                                            , XL",5.0,편안하게착용가능하며부드럽고두툼한두께로 따뜻합니다,보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 3 뉴비_41c9b8274a9e,여성, 155cm, 53kg,[세트]베네핏 트레이닝 셋업-오트밀,"M(후드)                                                                            , M",5.0,정말간편하고핏이이뻐요!!커플 트레이닝 했어요,보통이에요,보통이에요,선명해요,보통이에요,,,,,
LV 3 @forest,여성, 160cm, 50kg,[세트]베네핏 트레이닝 셋업-네이비,"L(후드)기모                                                                            , L",5.0,"역시 필루미네이트... 후회가 없네요! 크게 입으려고 L 시켰는데 160 기준 엉덩이 밑까지 다 덮고, 기모도 포근해서 너무 좋아요. 후드만 사려다가 일상복으로도 입고 동네 나갈때도 입으려고 바지까지 같이 있는 걸로 고른 건데, 너무 편하고 귀여워서 만족해요!",커요,보통이에요,선명해요,두꺼워요,,,,,
LV 3 저만쓰루,남성, 180cm, 85kg,[세트]베네핏 트레이닝 셋업-블랙,"L(맨투맨)                                                                            , L",5.0,오버사이즈 과한거 안좋아해서 L사이즈로 구입했는데 딱 좋네요!,보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 3 뉴비_e8aff9e65786,여성, 159cm, 62kg,[세트]베네핏 트레이닝 셋업-그레이,"L(후드)기모                                                                            , M(기모)",5.0,기모 톡톡해서 너무 따뜻하고 입으니까 더 이쁘네요~ 오버핏을 좋아해서 후드티는 L사이즈로하고 바지는 m으로 했는데 여유있게 잘 맞아요~ 여자분들은 m사이즈하면 예쁘게 맞을거 같아요~,커요,밝아요,선명해요,두꺼워요,,,,,
LV 4 hyukbin,남성, 166cm, 74kg,[세트]베네핏 트레이닝 셋업-그레이,"M(맨투맨)                                                                            , M",5.0,사이즈는 큰 편이라 뚱뚱한 체형이 가려져요. 편하게입고 다니기 좋을 것 같네요,커요,보통이에요,보통이에요,보통이에요,,,,,
LV 3 아꽁이1,남성, 170cm, 77kg,[세트]베네핏 트레이닝 셋업-네이비,"XL(후드)기모                                                                            , L(기모)",5.0,엑스라지는 완전 넉넉한 느낌이긴 하네요$키크고 상체 발달체형도 불편함 없이 입을수 있을꺼 같아요,커요,어두워요,선명해요,두꺼워요,,,,,
LV 3 아꽁이1,남성, 170cm, 77kg,[세트]베네핏 트레이닝 셋업-블랙,"M(후드)기모                                                                            , M(기모)",5.0,같은색 다른사이즈 구입했는데 m은 큰느낌 없이 딱맞아요.낙낙하게 입을꺼면 한사이즈 업해서 주문해도 상관없어요,보통이에요,보통이에요,선명해요,두꺼워요,,,,,
