user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval,cm,총장,어깨너비,가슴단면,소매길이
LV 3 Mㅏ왕,여성, 160cm, 50kg,넌슬립 자수 후드 블랙,M,5.0,너무 두껍지않고 핏이 예쁘게 떨어져서 너무 좋아요!,보통이에요,보통이에요,선명해요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 zzzmomo,남성, 178cm, 80kg,넌슬립 자수 후드 그레이,L,5.0,예쁘게 잘입을수 있을듯 해요 그리고 사이즈 좀 큰거 같아요 ㅠ,커요,보통이에요,보통이에요,보통이에요,L,73.0,60.0,69.0,64.0
LV 4 빠쇼쀼쇼,여성, 163cm, 47kg,넌슬립 자수 후드 그레이,M,4.0,뒤에 자수도 예쁘고 뭔가 착 떨어지는 느낌이라서 여리여리해보여요근데 처음에 실밥이 좀 많이 묻고 기모가 없어서 그냥 입기엔 좀 추운 거...? 빼면 ㄱㅊ,보통이에요,보통이에요,보통이에요,얇아요,M,71.0,58.0,67.0,62.0
LV 5 겸미,여성, 161cm, 58kg,넌슬립 자수 후드 그레이,기모 M,5.0,"품도 넉넉하고 좋아요,, 그리고 고양이 자수가 귀여워요",커요,밝아요,선명해요,보통이에요,,,,,
LV 4 뉴비_7fc5f2bedbd1,남성, 180cm, 69kg,넌슬립 자수 후드 블랙,L,5.0,등에 박힌 자수가 힙해 보이고 이뻐서 맘에들어요 ㅎ,보통이에요,보통이에요,보통이에요,보통이에요,L,73.0,60.0,69.0,64.0
LV 3 최 현숙,여성, 160cm, 50kg,넌슬립 자수 후드 그레이,기모 L,5.0,박시하게 입는거 좋아하는데 아주 넉넉하고 좋습니다 자수가 예쁘고 두께감 있어서 포근해요 추천해요,커요,보통이에요,보통이에요,두꺼워요,,,,,
LV 3 STCXD,남성, 185cm, 90kg,넌슬립 자수 후드 그레이,L,5.0,후드가 두툼해서 겨울에도 입기 좋을 거 같아요! 디자인도 맘에 듭니다 ㅎㅎ,보통이에요,보통이에요,보통이에요,두꺼워요,L,73.0,60.0,69.0,64.0
LV 3 뉴비_c145066a,남성, 171cm, 68kg,넌슬립 자수 후드 그레이,기모 M,5.0,사진은 저예요~여자인 제가 입어도 조 크지만 입을만 합니다,커요,보통이에요,보통이에요,두꺼워요,,,,,
LV 3 sooming_day,여성, 163cm, 52kg,넌슬립 자수 후드 크림,M,5.0,"박시하게 입고 싶었는데, 딱 좋은 사이즈에요!!제 키에 엉덩이 덮고, 아주 넉넉한 사이즈입니다:)",커요,보통이에요,보통이에요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 뉴비_237ef3d8,여성, 164cm, 57kg,넌슬립 자수 후드 블랙,M,5.0,옷도편하고 귀여워요 간단하게 꾸며입기도 좋아요!!,보통이에요,보통이에요,보통이에요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 edwardb,남성, 168cm, 65kg,넌슬립 자수 후드 크림,M,5.0,가을에 입기 좋고 귀여운데 겨울에 입긴 좀 춥긴한듯요,보통이에요,밝아요,선명해요,얇아요,M,71.0,58.0,67.0,62.0
LV 3 겸아_,여성, 167cm, 55kg,넌슬립 자수 후드 블랙,기모 M,5.0,사이즈 넉넉하고 뒤에 자수가 너무 예뻐요. 기모라 한겨울에도 따뜻하게 입을 수 있을 것 같아요.,보통이에요,보통이에요,선명해요,두꺼워요,,,,,
LV 3 지호랑2,여성, 160cm, 52kg,넌슬립 자수 후드 블랙,기모 M,5.0,따뜻하고 정말 좋아요 ! 사이즈도 딱 좋고 할인할 때 사서 더 좋네요기모 굉장히 따땃하고 이번 겨울은 꼼파뇨 후드티로 보낼 듯 합니다,보통이에요,어두워요,보통이에요,두꺼워요,,,,,
LV 3 뉴비_1eb07b5d6452,남성, 190cm, 72kg,넌슬립 자수 후드 블랙,기모 L,4.0,고양이가 귀엽고 기모도 있고 평소에 입고 다니기 좋네요.,보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 4 세계는 나의것,여성, 170cm, 60kg,넌슬립 자수 후드 블랙,M,4.0,먼저산 치마랑 같이 입을려고 구매했어요.넉넉해서 마음에 들어요^^,보통이에요,보통이에요,보통이에요,보통이에요,M,71.0,58.0,67.0,62.0
LV 3 목포알밤,남성, 174cm, 63kg,넌슬립 자수 후드 그레이,L,5.0,옷도 짱짱한데 등판에 있는 고양이가 제일 좋아요 ,보통이에요,보통이에요,보통이에요,보통이에요,L,73.0,60.0,69.0,64.0
LV 5 마마마누,남성, 179cm, 64kg,넌슬립 자수 후드 크림,M,5.0,179/64기준 이너로 입을거면 M 그냥 오버핏 후드로 입을거면 L 추천합니다그리고 생각보다 속부분은 약간 거칠어요,보통이에요,보통이에요,보통이에요,보통이에요,M,71.0,58.0,67.0,62.0
LV 5 로크라운만산다,남성, 180cm, 82kg,넌슬립 자수 후드 크림,기모 L,5.0,너무 이쁘게 잘 나왓습니다 기모라서 두꺼워서 따뜻해요,보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 3 뉴비_dad97a18489c,여성, 162cm, 41kg,넌슬립 자수 후드 크림,M,4.0,m사이즈가 제일 작은 거라 m으로 샀는데 사이즈가 좀 커요 s 사이즈 있으면 좋을 거 같아요뒤에 고양이는 너무 귀엽고 좋아요!!,커요,밝아요,선명해요,얇아요,M,71.0,58.0,67.0,62.0
LV 3 bvw570,남성, 170cm, 70kg,넌슬립 자수 후드 그레이,기모 M,5.0,가격 좋고 따뜻하니 좋네요 꼼파뇨 옷 좋네요 잘 입을게요,보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 5 김팡훈,여성, 176cm, 60kg,넌슬립 자수 후드 그레이,기모 M,5.0,178cm 착용컷 입니다. 모자 사이즈가 약간 작은데 전체적으로 핏이 딱맞아요,보통이에요,보통이에요,보통이에요,보통이에요,,,,,
LV 5 ksjsmin,여성, 168cm, 63kg,넌슬립 자수 후드 크림,L,5.0,흰색 따듯해 보아고 북극곰같아영 이쁘게 질 입을 수 있겠네용,보통이에요,보통이에요,보통이에요,보통이에요,L,73.0,60.0,69.0,64.0
LV 3 뉴비_505d2bf5,여성, 155cm, 51kg,넌슬립 자수 후드 그레이,기모 M,5.0,생각보다 오버핏이긴한데 그래도 귀엽고 이뻐요,커요,보통이에요,보통이에요,보통이에요,,,,,
